"","K1","K3","Orf70","K4","K5","K7","Orf16","Orf17","Orf18","Orf4","Orf20","Orf21","Orf22","Orf23","Orf24","Orf25","Orf26","Orf27","Orf6","Orf29","Orf30","Orf32","Orf34","Orf36","Orf37","Orf7","Orf39","Orf40","Orf42","Orf43","Orf44","Orf45","Orf46","Orf47","Orf8","Orf48","Orf49","Orf50","Orf52","Orf54","Orf55","Orf56","Orf57","Orf9","vIRF1","vIRF4","vIRF2","Orf58","Orf59","Orf60","Orf61","Orf62","Orf63","Orf10","Orf65","Orf66","Orf67","Orf68","Orf69","LANA","K14","Orf11","K15","K2"
"K1",1,0.184781188931348,0.238421778209597,0.290918041433817,0.373760704463434,0.313811153349065,0.188208641529428,0.416018352431831,0.283872554839556,0.340831514199561,0.299156318581888,0.0672523982959199,0.0641326102874193,0.383215112351509,0.0825111176061378,0.227578325151164,0.239524064867899,0.385546309324253,0.419037976560262,0.212605781150441,0.280464060657564,0.245401836738824,0.311355909205512,0.0733447677585213,0.220266691043695,0.396903985457908,-0.104398103251333,0.219113743391716,0.209374846783417,0.285819570534217,0.253804539337077,0.168921973398042,0.302904414217987,0.343892349181001,0.398816112466676,0.247282129073034,0.391233483602688,0.117264651115228,0.130676963210565,0.140861680051765,0.0645850951922027,0.124954937665085,0.196109477435019,0.470258138710073,0.229242546867118,0.223685894630742,0.211747134617474,0.303308864533166,0.369850071039868,0.177692039188511,0.269820545245218,0.195893060721309,0.0432589062389181,0.37007163728569,0.0344402252674716,0.145196587303609,0.248527972093078,-0.0180852923444026,0.251306752119583,0.340166790744407,0.431396729286262,0.421156369133053,0.0897350848848586,0.271017343772819
"K3",0.184781188931348,1,0.833161752727992,0.837606661620563,0.593356212625288,0.657184131071188,0.673991634455645,0.696755498557546,0.34463497480076,0.458471444850352,0.69356993358545,0.284953871823193,0.678437735543762,0.686896386533049,0.706120847770941,0.799797142350134,0.483123920302457,0.709184593459211,0.66953348752243,0.559999986740528,0.807681773039846,0.556939744394445,0.695851871966016,0.488311521377175,0.726916111080065,0.49243050351869,0.605703927560401,0.41473696371525,0.543993428349224,0.593854335529662,0.650716724964117,0.560219863659504,0.260836368562628,0.639036141832016,0.545447345731789,0.59576347977646,0.514008921677833,0.521410377835427,0.462831719340142,0.275426586421928,0.297540317696725,0.300714609203011,0.44711462174038,0.633380827514218,0.508108589201308,0.655102147233352,0.293565575200554,0.623298549585949,0.574919424109634,0.512921611272633,0.608429856355268,0.644396187735096,0.305404602046306,0.684200637970293,0.537064420399049,0.539514548573713,0.596827555634061,-0.0199121873559149,0.375665552551169,0.413023459751324,0.520712063873401,0.617540818867511,0.144964302545802,0.580199921345985
"Orf70",0.238421778209597,0.833161752727992,1,0.875830262106329,0.464527315182336,0.625453401833162,0.510324582284115,0.615358388583789,0.159332543108903,0.341606109956006,0.568426846638924,0.291880473089843,0.595102816356218,0.520036239880969,0.580733538026217,0.735771077902909,0.492548793558238,0.705042743647326,0.606810987907803,0.582239424477356,0.744046174696432,0.591529348201976,0.514600479991931,0.546878061325941,0.636011602421635,0.383271214292401,0.685119846273879,0.31804950177413,0.452113464799001,0.536477161194257,0.629526320711953,0.499434062245311,0.213883220591496,0.529544192287764,0.472980834835095,0.502080241241531,0.454613631531355,0.410614604621855,0.486125287278585,0.137553005574909,0.211216123107783,0.325989822267237,0.378649968997278,0.577687752271161,0.395889789540286,0.589391326332101,0.28521491396997,0.563911870856722,0.556318792159473,0.45142442869331,0.578285444455301,0.541740094506381,0.269359065368242,0.659724184218447,0.526882914483787,0.48122717640645,0.538609289314351,-0.0218536959228838,0.372029942967042,0.372091027389631,0.455123779580944,0.511903678933141,0.156643245976019,0.594476596565823
"K4",0.290918041433817,0.837606661620563,0.875830262106329,1,0.490808877203395,0.681817882201544,0.625560225672221,0.698526329836295,0.307774293080098,0.48037972486719,0.758286440172951,0.192417684041911,0.722958749868804,0.654286877855791,0.54531049035406,0.771138050117628,0.55459363708537,0.755506741794681,0.691113260926485,0.525223986867143,0.710400367476324,0.556778441414407,0.612434020773847,0.461874856056329,0.666242478830787,0.471356781743528,0.603290324605216,0.337600344033698,0.489989314408437,0.575662397993822,0.65017365392332,0.544973969960786,0.239655694121786,0.619962383387852,0.602037774367484,0.571768246157314,0.560043686165355,0.448839287234104,0.487047199868167,0.219892973432913,0.264526860397543,0.334362745042085,0.394426119405015,0.650008870912642,0.479244329980471,0.678020772271883,0.353588672348091,0.626855349179761,0.604735106033247,0.497044425675856,0.552120189426172,0.628861393086602,0.226282398780032,0.725172287020703,0.515176618892359,0.516729020749219,0.520241860955341,-0.0679727164784834,0.390270569969813,0.408036052709435,0.507300967598038,0.616589317847426,0.112921416894013,0.634741566259891
"K5",0.373760704463434,0.593356212625288,0.464527315182336,0.490808877203395,1,0.584186937911194,0.501944033868287,0.636078740940741,0.303866007345904,0.566657226771489,0.544488709361078,0.350514739976882,0.408554185470764,0.50797036794387,0.523592670532827,0.543818379083125,0.513422112110314,0.589722985531577,0.665790594127117,0.595181563115385,0.563646119139872,0.657168405423127,0.526560041960773,0.305230724479871,0.534771831774862,0.55195479722953,0.431891619023537,0.486066028316695,0.392047703129756,0.361805189408177,0.509383000861479,0.369648688268881,0.30463676952176,0.280077661023026,0.574024343507215,0.295516849445802,0.271145229079873,0.296454534145681,0.20417439662395,0.1525750895913,0.0665231446568819,0.0548282893286482,0.300822449762318,0.624743157764005,0.257161738285602,0.358496938225205,0.0681395167312396,0.493193840506557,0.42031674698597,0.387594152706282,0.452548005455703,0.480156507375264,0.0677597840017863,0.592303232984224,0.215302046846122,0.211814098535282,0.464174590480246,-0.0147191769089351,0.371692878447181,0.438365745417141,0.443678592111128,0.659890545989253,0.00989174736349198,0.613632963749953
"K7",0.313811153349065,0.657184131071188,0.625453401833162,0.681817882201544,0.584186937911194,1,0.691400502868951,0.719577048106454,0.394536017819281,0.731052556131954,0.703849418806761,0.132755677412056,0.550317355532818,0.721743050234902,0.547456261573981,0.635423650828715,0.654148877151353,0.796389023655006,0.872010723776619,0.590046072330805,0.680302994767865,0.683193450270969,0.661468107893808,0.366399103455808,0.792298330272378,0.744708947458561,0.600942520629782,0.556488091024289,0.569064689488945,0.590784977412568,0.752881356798073,0.774103539898,0.410448740730287,0.580682893472611,0.711349206885718,0.689377321637995,0.572494721548767,0.550432580561137,0.458767865274455,0.251104064451398,0.43359527103613,0.394155255635806,0.564223444037985,0.750594996010196,0.497788727448106,0.621058153343652,0.335007801494248,0.807417698004196,0.639288855345994,0.646348031311978,0.597161903463363,0.652789183848467,0.353633220137553,0.860007552177885,0.519559190230043,0.580885638484998,0.587759303693837,-0.00013872892892669,0.618820037051746,0.720817329821821,0.609572105069412,0.788884293518425,0.338204381991833,0.77164702576636
"Orf16",0.188208641529428,0.673991634455645,0.510324582284115,0.625560225672221,0.501944033868287,0.691400502868951,1,0.811793546819614,0.339043967110127,0.705309274849997,0.812235798207606,0.119965747972222,0.702164215949747,0.853548894926537,0.770483276227333,0.752473980330665,0.528191491622478,0.637171600364622,0.68703773717451,0.766558937592138,0.728869979253573,0.678501459035885,0.786430208422492,0.211853389640607,0.642773895196069,0.729443724743673,0.608438244624015,0.72603512432292,0.786956882560076,0.732114023480223,0.810337049985774,0.642740806276382,0.349798219249571,0.619941987934779,0.668572174090433,0.626690172725703,0.499701285795637,0.603790054596712,0.483255176777156,0.558163315495877,0.348637025038887,0.445638461317692,0.47365687566132,0.652768214578849,0.658571307382322,0.665420232147569,0.427512922134615,0.627860620549593,0.518334939028067,0.546834591380718,0.654405150139076,0.683620493588852,0.376685960645894,0.745614475821503,0.58571323921779,0.588233810330682,0.675513712547424,0.123595771559579,0.536336914497696,0.544678496347439,0.64337469904672,0.627518041573185,0.247116790758783,0.635789402933403
"Orf17",0.416018352431831,0.696755498557546,0.615358388583789,0.698526329836295,0.636078740940741,0.719577048106454,0.811793546819614,1,0.206042793007447,0.589973986718714,0.735228886902696,0.306694038494286,0.53763158689309,0.763555467438099,0.719484034313689,0.738696252475697,0.588298159349284,0.651817766395585,0.733000233510715,0.722870204019355,0.733660528682109,0.739686459753203,0.835005047923354,0.435591896129201,0.735527783046421,0.693960334686106,0.60856659247326,0.527127342809687,0.688296550270501,0.655093595107744,0.686210577237536,0.596492662925108,0.31470369807746,0.546155687651721,0.610398831481369,0.557163808441212,0.397555122006709,0.524100239486226,0.355158477760481,0.284959953525032,0.204706251079871,0.207861982935437,0.447381662612044,0.662629993422875,0.503028194043098,0.575499795553333,0.227019763432872,0.677011322517411,0.522948030221587,0.51316340440228,0.558833443470736,0.510342700507079,0.113704633042322,0.787136924788184,0.403629374730601,0.399477775172538,0.541687426606839,-0.118019613350785,0.469388890881485,0.510422767836905,0.592903044443696,0.705428485518601,0.132235691133344,0.654458741587186
"Orf18",0.283872554839556,0.34463497480076,0.159332543108903,0.307774293080098,0.303866007345904,0.394536017819281,0.339043967110127,0.206042793007447,1,0.367489917886815,0.540440253308168,0.035981745088041,0.405785403628638,0.541254315800392,0.30659206530243,0.448008983527589,0.253940699843618,0.4730667636798,0.402843743293213,0.0776511787169348,0.522609609631989,0.231085902113301,0.334817406831659,0.0149648547526596,0.177590188462484,0.39698166585882,0.0288237599420392,0.216535879871682,0.224221114482122,0.322480454657465,0.298991382719384,0.274989404673931,0.318280439907633,0.409173202835961,0.325153662861619,0.313692017286089,0.439812369165296,0.15772356233543,0.305658570820317,0.229119320474018,0.221204657847821,0.274786972457049,0.234936763830612,0.402527517352619,0.263156422735346,0.274852327929311,0.279092283711701,0.292264766392464,0.215221237642549,0.114555486386383,0.17615490216867,0.406566174602933,0.265893875466415,0.410206236755439,0.142477207067359,0.238857609596943,0.263751146434041,0.0165248274121274,0.120706837870628,0.257343424108626,0.299272925336269,0.324209683743189,0.0271368420551954,0.217673878617149
"Orf4",0.340831514199561,0.458471444850352,0.341606109956006,0.48037972486719,0.566657226771489,0.731052556131954,0.705309274849997,0.589973986718714,0.367489917886815,1,0.702875359907351,0.0279571496309503,0.515808484067212,0.725015715603725,0.509923406562762,0.568506722783083,0.390888288395836,0.682702537592007,0.740226162254835,0.59918017210988,0.465116319489785,0.583316403477305,0.633331078995825,0.0580525930742092,0.6285903160871,0.80182383616826,0.431727142749488,0.727249169602673,0.569470254954882,0.656334451906406,0.654387240994926,0.734743836807568,0.30198542195085,0.546648065244445,0.808616976433681,0.625411353091845,0.636354456857652,0.493619877270292,0.395274987484069,0.524722972220004,0.379753514432028,0.392271550364378,0.474937221264003,0.748134472206776,0.478342723344073,0.560197165394747,0.398200323410758,0.62464191441135,0.47534231369033,0.483826665140936,0.573285439337357,0.572925715320412,0.440655627697152,0.741350767072182,0.376282289961605,0.535450721981589,0.542408039120688,0.168117778849778,0.602960570485663,0.678198223471779,0.659627202332735,0.687770446074179,0.305502151699052,0.714826349324059
