"","K1","K3","Orf70","K4","K5","K7","Orf16","Orf17","Orf18","Orf4","Orf20","Orf21","Orf22","Orf23","Orf24","Orf25","Orf26","Orf27","Orf6","Orf29","Orf30","Orf32","Orf34","Orf36","Orf37","Orf7","Orf39","Orf40","Orf42","Orf43","Orf44","Orf45","Orf46","Orf47","Orf8","Orf48","Orf49","Orf50","Orf52","Orf54","Orf55","Orf56","Orf57","Orf9","vIRF1","vIRF4","vIRF2","Orf58","Orf59","Orf60","Orf61","Orf62","Orf63","Orf10","Orf65","Orf66","Orf67","Orf68","Orf69","LANA","K14","Orf11","K15","K2"
"K1",1,0.175629403200336,0.232700835156505,0.28432054331694,0.3664751479237,0.304671532475131,0.180421552593367,0.41003683148425,0.276859763007351,0.332913344091639,0.291659853082036,0.0772320304547771,0.0692832378102989,0.377245551587339,0.0740008795238786,0.219801444963678,0.230965605875058,0.378786392476321,0.41357803660234,0.203654483141285,0.272679748441325,0.236812486539431,0.303650257074674,0.0681665362615348,0.208959805307152,0.39022907517927,-0.114151413514523,0.217493615112875,0.225274802532865,0.295654898195105,0.256907893632788,0.177359774413603,0.340845591294412,0.353685636943895,0.392148217362058,0.254950877989457,0.402292607349625,0.140745666733009,0.156002692086051,0.162717021215022,0.0953568836031626,0.152792720106938,0.222146810404729,0.4650830097069,0.258286303400019,0.240761869571077,0.214184304272562,0.306455056348838,0.376038360555799,0.176564430885424,0.281009759780691,0.202593956373667,0.0663430399864871,0.362738287657068,0.052095190444131,0.169450219373265,0.244213273960689,0.00466553749415079,0.267559648792786,0.348015069482181,0.454241226398594,0.415068809641963,0.125489259038668,0.261134494975104
"K3",0.175629403200336,1,0.831959899265812,0.834945945984621,0.581799370486549,0.648057760038987,0.668189709638168,0.689823179960206,0.332046716656911,0.443376970484473,0.686866904970049,0.307493933297034,0.696198489018676,0.680758319908436,0.701299886116938,0.795969511630834,0.471417292784364,0.701910463971169,0.663241715923766,0.550041304542446,0.803454615415208,0.546729451177031,0.688700632269189,0.484414519033124,0.719759346756184,0.478650454484798,0.599634291922575,0.414963603735381,0.580487200026858,0.617406107181115,0.662244174580313,0.582207467362715,0.319635783616626,0.66237075571613,0.532800340145568,0.615624891910207,0.537001159278161,0.579660507769392,0.521963582163828,0.318915423598827,0.368164310766298,0.358173105983625,0.502150852421419,0.623704368816148,0.569519718939183,0.696328411432921,0.300082841842628,0.634265674454248,0.590465850584508,0.515430966908357,0.635131807931545,0.663571425828469,0.359900947012682,0.675707146645187,0.58644045951818,0.598128280259875,0.594182698483673,0.0232096873184035,0.407636274156514,0.429655108907457,0.562032020044056,0.608028623587164,0.211545512731846,0.568147278210953
"Orf70",0.232700835156505,0.831959899265812,1,0.874696108644912,0.456793194959483,0.624950803697626,0.504744862262258,0.61075490582534,0.149011741151717,0.331080254000949,0.563123291820376,0.3064142113974,0.604721661296668,0.514298950929797,0.576167560904498,0.73293537828256,0.485962924839723,0.702280832657671,0.602291956909805,0.57710384022615,0.741453307131275,0.586529575424122,0.508266925478828,0.543996414165757,0.633014566805436,0.373838137021345,0.681873922485679,0.316741272030781,0.475036300978669,0.550558958003166,0.635283462488765,0.512443048788965,0.252762921186923,0.542921404144324,0.465480179121889,0.513269374927484,0.468428185720768,0.448432791663984,0.5292677642534,0.163141090586145,0.256494181656144,0.367470204397698,0.41525539871376,0.572524696182549,0.43580469569011,0.616241538529935,0.288648991334813,0.569179477568906,0.565068365599439,0.451500843764706,0.59489022754341,0.552286345801928,0.306011760176232,0.656770329530554,0.56120180643329,0.521207235820799,0.535556481636999,0.00548225872445985,0.393180094098462,0.381837512739684,0.482005326670009,0.505397132348581,0.203311950216394,0.590208069188932
"K4",0.28432054331694,0.834945945984621,0.874696108644912,1,0.479615586561956,0.678417515664884,0.619890442985249,0.693198713382399,0.296792642598746,0.469294876837191,0.754171768139786,0.209528088121168,0.73713319460915,0.648685384762825,0.538765675590899,0.767479276971197,0.54654234074619,0.751299028076138,0.686215204381397,0.516615523257763,0.705396441173796,0.548665312984425,0.6053073892187,0.457844854544394,0.660275583782539,0.460221075186971,0.597954954782371,0.336553874993135,0.519271006606304,0.594361605145208,0.658667778492789,0.562407865656308,0.288537575845396,0.638398804863584,0.59410752348222,0.587230213329848,0.579166201944089,0.495958293360532,0.538652668355817,0.254637331213493,0.322988470107981,0.384841398553388,0.439372900356476,0.643351301136758,0.530764024602942,0.712995229674964,0.358958794612668,0.634957471642578,0.617043852011402,0.498195910756803,0.5730106870066,0.643745764727486,0.269117379532788,0.720596452102382,0.556393893066642,0.566068839707425,0.516623060891839,-0.0350694367996138,0.417072180880937,0.421213454965481,0.541652371951321,0.609318080756746,0.166782322622841,0.627764373669839
"K5",0.3664751479237,0.581799370486549,0.456793194959483,0.479615586561956,1,0.561869581567026,0.490810494502118,0.625277768625574,0.28589731936325,0.549236169598191,0.531473519805994,0.385043018062522,0.430858050294018,0.495637341610682,0.51397032560857,0.532771871671688,0.498706281389998,0.575219204676585,0.658676988524813,0.583204880592999,0.551167459632844,0.646950395785057,0.511447224087382,0.297854706112733,0.513869914377155,0.534510974697135,0.420760599590559,0.490425566324648,0.438733407263459,0.391373980508172,0.526381877788302,0.398164469447409,0.387241613397775,0.306459720040045,0.556600597618623,0.318989337541765,0.29914763022774,0.363521594820592,0.26967955454836,0.206842663572867,0.142717551295394,0.117478283193571,0.367963013785639,0.610369273606713,0.325866010344322,0.406234676437233,0.0741644632769828,0.509502900232666,0.441761632734093,0.391491718896588,0.48803834445739,0.506471731623086,0.128060555704639,0.575317003923704,0.269027910307816,0.274097196016179,0.460278979659621,0.0464696491467617,0.416983821993821,0.464450589609468,0.498606061202927,0.648302259392698,0.0883740471746151,0.596615678915141
"K7",0.304671532475131,0.648057760038987,0.624950803697626,0.678417515664884,0.561869581567026,1,0.688085185395065,0.712463363670762,0.377047180712336,0.719053437049388,0.697086441671546,0.169944056920295,0.587245312891201,0.718070625804056,0.53911448442316,0.628151204436281,0.64418545095824,0.790332930944857,0.875529425697357,0.577058518742343,0.672326031931634,0.674154314449788,0.650769435621129,0.361373382971854,0.78134345942779,0.734144289916265,0.596272256814836,0.568307961088732,0.639353587313842,0.640357180085242,0.787346870758451,0.829274453502004,0.523902535177217,0.628413820298726,0.697876553232183,0.736787215623344,0.622458934944913,0.653427225801548,0.560493880051331,0.32708574774864,0.56545968044257,0.500487813303336,0.667912139649313,0.740622788071573,0.602617397728735,0.696932456335146,0.35280073161477,0.843399339181463,0.678049071498156,0.663554455810047,0.65157665303194,0.696574370154668,0.451793730432937,0.854415484362456,0.606779596630343,0.685337911025046,0.590697760471218,0.0798252547805874,0.690564221947688,0.768227066546535,0.690325972369628,0.782904225913432,0.473437075090027,0.759911782082277
"Orf16",0.180421552593367,0.668189709638168,0.504744862262258,0.619890442985249,0.490810494502118,0.688085185395065,1,0.808559486974785,0.328399868034045,0.699900902091514,0.809023736883242,0.136275453522244,0.716411404753866,0.851161767370051,0.767142044113043,0.748441091655068,0.519477672960381,0.63013200876538,0.681991620665519,0.762451411056326,0.724100961693576,0.67263583013012,0.782693455221303,0.20525743870852,0.635845611293171,0.724594919163217,0.603107494316839,0.728162745899591,0.822672526339674,0.753040205117447,0.820314538687715,0.66161611503361,0.404977740554332,0.638682237280309,0.662212383285821,0.643006569634531,0.518366109642416,0.657340949168011,0.535286884938491,0.604514733847849,0.413182392811781,0.501991548861035,0.522137414263084,0.645989255843515,0.718080243553336,0.700577161026212,0.433584305017675,0.636157419552669,0.530081086625112,0.54844971526533,0.677022214723839,0.699329201227257,0.426641988675013,0.741404027707764,0.629547701419079,0.6408271564317,0.673478905928869,0.166868014705476,0.566418868860446,0.559501566903089,0.681458214900998,0.620318810967762,0.311747412578846,0.628604608362308
"Orf17",0.41003683148425,0.689823179960206,0.61075490582534,0.693198713382399,0.625277768625574,0.712463363670762,0.808559486974785,1,0.190186551433302,0.578185879261789,0.729228727084817,0.330567590609766,0.554401419581128,0.758840677798954,0.714848310230996,0.733541424538787,0.578608672532579,0.642618723316243,0.727833236305214,0.716352180173218,0.727592504697186,0.733446912037656,0.83096285471666,0.430954375377943,0.728072084837861,0.685476330926233,0.602435020194284,0.528918245610984,0.729725562537583,0.680724890546191,0.698894486874928,0.620071265947189,0.378485631255191,0.569080714476502,0.599122435450484,0.57741493776535,0.419607925305881,0.584353105059044,0.41131575844895,0.33034836061403,0.271187085366555,0.262417500327377,0.504248942081314,0.653290206388848,0.566164196621031,0.616203895775586,0.233113249362195,0.689322894671336,0.538618042516292,0.515992847181901,0.585809269915015,0.528560081626005,0.160817814125716,0.781369949083593,0.450128390267995,0.454118479164385,0.538341889159863,-0.0786661765354502,0.504852778606339,0.529258258311193,0.637779042039694,0.697791148894617,0.200083395786156,0.644233562948086
"Orf18",0.276859763007351,0.332046716656911,0.149011741151717,0.296792642598746,0.28589731936325,0.377047180712336,0.328399868034045,0.190186551433302,1,0.352315594397422,0.531719105946585,0.0517988177112113,0.417882149067598,0.533289804233672,0.295986983944536,0.438522204905434,0.2392065134666,0.461622628129445,0.392721372059605,0.0593864292652409,0.513507088738503,0.215626565577539,0.321190169684251,0.00595623126250592,0.155197594781301,0.382911272971398,0.0148335881775845,0.214507297316627,0.249625146200302,0.339188878945278,0.305247356925559,0.290273273345435,0.373874020161759,0.42626910560633,0.308623247855715,0.327367394098335,0.458651648760552,0.195947461305988,0.352193704420006,0.266156654348403,0.279775422242215,0.324947702032854,0.276049285755836,0.388723736179814,0.308101093897726,0.302763044588829,0.284333514612745,0.298253992098636,0.224665978480041,0.1127137263762,0.192999518085874,0.420189919526366,0.312831167306152,0.395859945885101,0.174391264000189,0.279965319084243,0.257237758679958,0.0560942346378326,0.14354153096583,0.269816098225215,0.330360816804971,0.309533461227452,0.077513553305971,0.196910063148738
"Orf4",0.332913344091639,0.443376970484473,0.331080254000949,0.469294876837191,0.549236169598191,0.719053437049388,0.699900902091514,0.578185879261789,0.352315594397422,1,0.695133324745976,0.0513760471128976,0.538120647281322,0.719169205168899,0.500167260239565,0.558507937345101,0.373232417301208,0.672190058137784,0.735103566588383,0.587846034122635,0.450269969317588,0.571202865939507,0.62239938488615,0.045631858571277,0.613272622062578,0.794641503816426,0.420980605756028,0.735180412590217,0.618059760446454,0.690157061830176,0.672153066967603,0.769028734003633,0.37885413193402,0.576840223818087,0.801352692145906,0.653908275344093,0.670599387821167,0.565646375035369,0.466134639692628,0.591452534165241,0.474226701477613,0.470208067180991,0.545876001083803,0.739120137926886,0.553847415123029,0.610846543347478,0.409874444858583,0.641528448810721,0.49575310766136,0.488688625865869,0.60867838620062,0.598646094963203,0.517094253913075,0.731371566047666,0.432697687611662,0.609085839315693,0.539875580993817,0.236236429573179,0.651849550229667,0.706918454605217,0.717990673016022,0.677691707736679,0.403835187026111,0.703299209251628
