,0
0,215.0
1,489.0
2,274.0
3,18750.0
4,18535.0
5,18261.0
6,18948.0
7,18733.0
8,18459.0
9,198.0
10,19444.0
11,19229.0
12,18955.0
13,694.0
14,496.0
15,20846.0
16,20631.0
17,20357.0
18,2096.0
19,1898.0
20,1402.0
21,21645.0
22,21430.0
23,21156.0
24,2895.0
25,2697.0
26,2201.0
27,799.0
28,21645.5
29,21430.5
30,21156.5
31,2895.5
32,2697.5
33,2201.5
34,799.5
35,0.5
36,21647.0
37,21432.0
38,21158.0
39,2897.0
40,2699.0
41,2203.0
42,801.0
43,2.0
44,1.5
45,26012.0
46,25797.0
47,25523.0
48,7262.0
49,7064.0
50,6568.0
51,5166.0
52,4367.0
53,4366.5
54,4365.0
55,26067.0
56,25852.0
57,25578.0
58,7317.0
59,7119.0
60,6623.0
61,5221.0
62,4422.0
63,4421.5
64,4420.0
65,55.0
66,28491.0
67,28276.0
68,28002.0
69,9741.0
70,9543.0
71,9047.0
72,7645.0
73,6846.0
74,6845.5
75,6844.0
76,2479.0
77,2424.0
78,28561.0
79,28346.0
80,28072.0
81,9811.0
82,9613.0
83,9117.0
84,7715.0
85,6916.0
86,6915.5
87,6914.0
88,2549.0
89,2494.0
90,70.0
91,30132.0
92,29917.0
93,29643.0
94,11382.0
95,11184.0
96,10688.0
97,9286.0
98,8487.0
99,8486.5
100,8485.0
101,4120.0
102,4065.0
103,1641.0
104,1571.0
105,30270.0
106,30055.0
107,29781.0
108,11520.0
109,11322.0
110,10826.0
111,9424.0
112,8625.0
113,8624.5
114,8623.0
115,4258.0
116,4203.0
117,1779.0
118,1709.0
119,138.0
120,31088.0
121,30873.0
122,30599.0
123,12338.0
124,12140.0
125,11644.0
126,10242.0
127,9443.0
128,9442.5
129,9441.0
130,5076.0
131,5021.0
132,2597.0
133,2527.0
134,956.0
135,818.0
136,31376.0
137,31161.0
138,30887.0
139,12626.0
140,12428.0
141,11932.0
142,10530.0
143,9731.0
144,9730.5
145,9729.0
146,5364.0
147,5309.0
148,2885.0
149,2815.0
150,1244.0
151,1106.0
152,288.0
153,31696.0
154,31481.0
155,31207.0
156,12946.0
157,12748.0
158,12252.0
159,10850.0
160,10051.0
161,10050.5
162,10049.0
163,5684.0
164,5629.0
165,3205.0
166,3135.0
167,1564.0
168,1426.0
169,608.0
170,320.0
171,32377.0
172,32162.0
173,31888.0
174,13627.0
175,13429.0
176,12933.0
177,11531.0
178,10732.0
179,10731.5
180,10730.0
181,6365.0
182,6310.0
183,3886.0
184,3816.0
185,2245.0
186,2107.0
187,1289.0
188,1001.0
189,681.0
190,32802.0
191,32587.0
192,32313.0
193,14052.0
194,13854.0
195,13358.0
196,11956.0
197,11157.0
198,11156.5
199,11155.0
200,6790.0
201,6735.0
202,4311.0
203,4241.0
204,2670.0
205,2532.0
206,1714.0
207,1426.0
208,1106.0
209,425.0
210,1976.0
211,1761.0
212,1487.0
213,16774.0
214,16972.0
215,17468.0
216,18870.0
217,19669.0
218,19669.5
219,19671.0
220,24036.0
221,24091.0
222,26515.0
223,26585.0
224,28156.0
225,28294.0
226,29112.0
227,29400.0
228,29720.0
229,30401.0
230,30826.0
231,2227.0
232,2012.0
233,1738.0
234,16523.0
235,16721.0
236,17217.0
237,18619.0
238,19418.0
239,19418.5
240,19420.0
241,23785.0
242,23840.0
243,26264.0
244,26334.0
245,27905.0
246,28043.0
247,28861.0
248,29149.0
249,29469.0
250,30150.0
251,30575.0
252,251.0
253,2412.0
254,2197.0
255,1923.0
256,16338.0
257,16536.0
258,17032.0
259,18434.0
260,19233.0
261,19233.5
262,19235.0
263,23600.0
264,23655.0
265,26079.0
266,26149.0
267,27720.0
268,27858.0
269,28676.0
270,28964.0
271,29284.0
272,29965.0
273,30390.0
274,436.0
275,185.0
276,33272.0
277,33057.0
278,32783.0
279,14522.0
280,14324.0
281,13828.0
282,12426.0
283,11627.0
284,11626.5
285,11625.0
286,7260.0
287,7205.0
288,4781.0
289,4711.0
290,3140.0
291,3002.0
292,2184.0
293,1896.0
294,1576.0
295,895.0
296,470.0
297,31296.0
298,31045.0
299,30860.0
300,33956.0
301,33741.0
302,33467.0
303,15206.0
304,15008.0
305,14512.0
306,13110.0
307,12311.0
308,12310.5
309,12309.0
310,7944.0
311,7889.0
312,5465.0
313,5395.0
314,3824.0
315,3686.0
316,2868.0
317,2580.0
318,2260.0
319,1579.0
