SampleID,Cluster,K1,K3,Orf70,K4,K5,K7,Orf16,Orf17,Orf18,Orf4,Orf20,Orf21,Orf22,Orf23,Orf24,Orf25,Orf26,Orf27,Orf6,Orf29,Orf30,Orf32,Orf34,Orf36,Orf37,Orf7,Orf39,Orf40,Orf42,Orf43,Orf44,Orf45,Orf46,Orf47,Orf8,Orf48,Orf49,Orf50,Orf52,Orf54,Orf55,Orf56,Orf57,Orf9,vIRF1,vIRF4,vIRF2,Orf58,Orf59,Orf60,Orf61,Orf62,Orf63,Orf10,Orf65,Orf66,Orf67,Orf68,Orf69,LANA,K14,Orf11,K15,K2
180,1,-1.415987336,-0.733407612,-2.356423224,-2.75500563,-2.341402453,-2.555723534,-5.406533004,1.120813577,-3.364879551,-6.617684966,-3.793810075,3.190497505,-4.123409213,-5.000417971,-1.954413221,-3.47039831,-2.678145594,-4.216661512,-8.073695497,-4.652957238,-3.866520613,-2.157745423,2.910953319,-0.268065884,4.966147863,-1.236631456,-1.246610814,-1.207282271,-6.845539945,1.138543826,-3.766922891,-0.16411622,-0.449627617,-6.245755859,-5.022775222,-1.4967857,-4.358046976,0.180475713,-3.768082187,-2.557466842,3.505892577,-0.583992772,3.208165497,-8.510177439,-1.070705042,-4.86286804,-3.613514013,4.627220434,-0.463671389,4.87411409,-5.17290174,-2.693363704,-1.257077957,-5.984034511,-11.89312613,-6.748318316,-6.743363016,-0.159173449,2.855573242,-1.52870716,-5.867100391,-7.532112841,-0.858643488,0.474951551
220,1,-1.415987336,3.689510573,-2.356423224,-2.968252581,7.777974825,-14.07059396,-5.406533004,-3.939121637,7.339368154,-7.360931918,0.203889007,0.030168739,-4.123409213,-5.000417971,3.549834484,0.88910016,-2.678145594,-1.802413808,-11.21027578,-4.652957238,3.132977857,-2.790180637,-4.593917107,-0.472936311,-9.493592991,-6.823125358,-1.246610814,-3.549479531,-6.845539945,-4.156828131,-6.885628181,-5.411060746,-0.380873061,-6.22856722,-8.836022173,-9.532032274,-5.542441495,-3.170354583,-7.783704909,-1.654963804,-4.216252853,-4.030791868,-3.90591175,-8.510177439,-3.028762978,-10.18561461,-3.67988903,-11.98281438,-8.640666822,-9.101379058,-7.598835823,0.895512043,-3.079003269,-9.337281462,-6.034371572,-8.609887787,-4.784115312,0.436870496,-17.93916761,-11.40915351,-5.605035039,-8.962735563,-7.291089836,-7.034789302
225,1,-0.230970847,-2.868304741,-1.171406734,-1.783236092,-4.401256391,-1.225577471,-4.221516515,-2.754105147,-2.179863062,1.764084572,-2.608793586,-2.007646575,-2.938392723,-3.815401481,-0.769396732,-2.285381821,-1.493129105,-3.031645023,-10.02525929,-3.467940749,-2.681504124,-1.605164148,-3.408900618,0.712080179,-8.308576502,1.485224465,-0.061594325,0.235837877,-5.660523456,-3.886310112,0.213223171,-1.218840585,-12.54435198,-5.990674583,-7.651005684,-1.521639637,2.52517683,-3.0460017,0.047063876,1.664389079,2.841064554,2.039127376,9.590107799,-7.325160949,-2.332994193,-11.01522198,12.77663205,-4.972547121,-7.755148802,-0.510610274,-5.072690891,-1.351550975,-1.144770527,-8.152264973,-13.32785049,-2.688942071,-5.558346527,4.542639281,-1.259151122,3.769464817,2.906795672,-3.141966779,3.912528489,-5.849772813
316,2,-1.415987336,4.446147067,8.172779222,8.500949865,5.727929566,13.57860849,5.408068219,1.370479586,-3.364879551,9.314937195,5.415711392,-0.852928915,4.976059085,3.409183252,1.930188002,2.229335839,3.641455629,9.002540933,10.96559333,5.536511059,-0.126786464,2.254221198,-4.593917107,-0.472936311,7.275609455,2.969676273,4.592591631,5.236342855,2.071561278,6.891342104,9.162409128,4.497345372,4.739833975,-1.178789238,9.973180273,0.950245708,2.687522298,0.868450108,9.261249832,-0.071159113,3.123410021,4.865472843,-1.149039577,9.345691674,-0.263608848,6.94646398,9.495818006,6.191638836,3.882370488,6.918575683,4.656495065,7.684301648,1.788214731,9.635254317,7.776335464,3.445357822,-3.628761793,1.032224014,4.660034835,-1.10610996,1.754931017,8.037219178,-1.586966532,8.304413144
541,1,-0.439120336,-1.409787564,-2.356423224,-1.024718914,5.24902762,-2.225293461,-5.406533004,-0.391321137,-3.364879551,-4.314064918,-3.793810075,5.607737602,4.296791121,-5.000417971,-1.954413221,-3.47039831,8.462154906,-4.216661512,-5.480075448,-3.729423572,-3.866520613,1.820119863,3.171383392,-0.472936311,-1.698292491,-0.496258358,-1.246610814,-2.847058413,3.452260555,-9.837993268,1.970274015,-5.169376274,-0.268767471,-6.233040822,-2.96582184,-2.406355627,-0.551358859,-5.579051023,3.832648386,-3.660226744,-3.661591336,-4.691768913,-0.050974357,-8.510177439,-1.517710183,-5.187287717,1.15721656,-2.378829611,1.210435708,-6.570326263,-3.322256631,-0.442833465,-1.99230073,-2.847081129,-2.882265982,-2.636472275,-2.768062517,-0.393743376,-6.438867112,1.091869028,-5.371745443,4.498617732,-0.8261274,3.635811697
1167,2,-1.415987336,9.716846098,10.15041077,4.285248081,5.165561115,11.31124003,5.571883993,7.720212358,-3.364879551,-6.001987253,-1.514443276,1.3485596,-0.284464548,4.902999027,2.299003777,2.898546355,3.900271403,3.356755485,11.38655821,7.744932092,9.026980049,4.09494486,5.64449989,4.275480687,13.163241,0.581430639,4.985223181,-6.009178613,7.03879405,1.796562729,2.641096012,4.798976921,3.657465525,7.206142923,4.05520049,6.695177869,-1.463005664,5.534676806,8.328881382,-4.142738081,1.004148462,-0.204421917,4.668591972,10.17332322,-0.959593685,8.329095529,-7.999967442,8.114270385,5.180002037,7.276207232,8.444126615,3.639127532,-2.087310447,12.1362192,8.973967014,0.626637151,4.830053981,-3.420626878,5.837666384,2.185915524,1.002300429,6.714850727,4.408979196,6.202044693
1338,2,-1.415987336,-4.05332123,-2.356423224,-2.968252581,5.109809547,9.725488466,13.18954942,8.150440183,-3.364879551,8.341817175,2.681839381,1.388058554,-2.75471507,4.707623243,4.556669205,1.683656641,3.119895619,2.561379701,1.595806645,9.059791855,4.550867671,6.19840179,5.832165319,1.085104903,6.322489435,7.769623735,2.921430399,10.79090381,9.788042481,9.289755825,10.68095578,4.850225352,1.866713956,-5.489170465,2.111366111,-3.176114913,-6.413406688,1.022383832,-4.001870187,-1.283239126,-3.007518965,-3.264239658,2.307840403,-2.262789154,1.544051137,-3.822197253,-0.487302014,0.348518816,-6.961471149,2.750455663,1.124354439,-2.535845847,-4.480346669,7.855467631,7.153215445,-2.661351806,1.694678197,-0.996655591,7.291914815,5.470922512,7.075361609,6.554099159,0.771161456,8.521293124
1347,1,-1.415987336,-4.05332123,-2.356423224,-2.968252581,-1.293587659,-5.48790874,-0.613847783,-3.939121637,-3.364879551,7.164438525,-3.793810075,-0.347539583,2.215047602,-5.000417971,-1.954413221,-3.47039831,-2.678145594,-4.216661512,-4.325152301,0.428832909,-3.866520613,-0.458838026,1.533768114,-0.472936311,7.336777451,0.001998123,-1.246610814,-2.711030436,-1.881697335,-0.857746306,-3.585774763,2.083513368,-3.943998028,3.08333676,10.96934827,3.459871705,-0.137543305,0.212562105,-0.982582171,5.904743032,-0.60272967,1.995333152,2.807128419,7.195193004,-0.173982851,6.222631976,-3.045699219,0.910245092,1.671871817,3.304743679,6.585163062,1.587907904,3.35471038,-3.948824648,7.662503461,4.339216105,4.782007426,1.356203086,6.716202831,2.106207638,-5.111785597,-7.234298047,0.064734266,7.69058114
1367,2,-1.415987336,11.33075743,6.807655432,11.08915941,3.732805776,9.028484695,15.02254565,8.847457019,-3.364879551,5.886480071,5.419452849,0.016722706,10.53733611,2.516621357,3.634665435,7.415654127,1.338893734,2.652417143,7.690469541,5.896428532,6.407558043,2.287878355,8.725161548,1.754103017,10.14548566,0.341567527,1.320428513,2.271268581,1.635019046,1.256392503,5.124938895,3.426221582,-7.165289815,3.743387584,8.398056482,5.539922529,-0.810576734,5.475714023,-2.548873958,1.850117911,-3.020320473,-0.906257651,3.245836632,7.173901217,5.226067973,11.47134019,-4.661345112,3.432501936,3.513913364,5.318451892,2.390351611,5.827511191,-2.128884927,7.446797193,9.501211674,5.376680288,8.620715639,-3.51435099,4.379911044,2.455119118,7.589607838,8.172095388,-1.494040807,5.499289353
1461,2,5.793658829,6.182283931,9.282515271,9.05735258,3.192665615,9.548344534,-5.406533004,0.892847611,6.874589696,1.358360412,3.299553021,1.663295932,2.802903619,4.034051277,-1.954413221,5.058894019,2.536323653,8.452276982,9.548662713,-4.652957238,8.285751215,1.15428861,4.67055214,3.936532937,8.425345503,0.713187473,-0.547141567,0.068396785,-2.266070698,8.800945227,7.027145177,3.02708142,3.459570024,5.420747422,8.866249655,4.360047744,4.583098836,1.42327414,8.600985881,-6.491335081,0.51719886,-0.538526017,5.907363138,8.448761056,1.528427812,8.136200028,1.730554054,7.358041551,5.392106536,4.673311731,7.296231114,2.607547948,0.319758053,10.86165703,9.926071513,5.788140365,8.415575478,-0.613084879,4.984770883,5.323492973,5.502100365,6.791955227,0.972875097,9.414149192
