,K1,K14,K15,K2,K3,K4,K5,K7,LANA,Orf10,Orf11,Orf16,Orf17,Orf18,Orf20,Orf21,Orf22,Orf23,Orf24,Orf25,Orf26,Orf27,Orf29,Orf30,Orf32,Orf34,Orf36,Orf37,Orf39,Orf4,Orf40,Orf42,Orf43,Orf44,Orf45,Orf46,Orf47,Orf48,Orf49,Orf50,Orf52,Orf54,Orf55,Orf56,Orf57,Orf58,Orf59,Orf6,Orf60,Orf61,Orf62,Orf63,Orf65,Orf66,Orf67,Orf68,Orf69,Orf7,Orf70,Orf8,Orf9,vIRF1,vIRF2,vIRF4
K1,1.0,0.4313967292862621,0.08973508488485861,0.27101734377281894,0.18478118893134846,0.2909180414338175,0.3737607044634341,0.31381115334906484,0.340166790744407,0.37007163728568965,0.42115636913305304,0.1882086415294279,0.4160183524318309,0.2838725548395561,0.2991563185818884,0.06725239829591995,0.06413261028741932,0.3832151123515093,0.08251111760613784,0.22757832515116413,0.23952406486789848,0.38554630932425327,0.21260578115044068,0.28046406065756374,0.24540183673882393,0.31135590920551226,0.07334476775852135,0.2202666910436954,-0.10439810325133256,0.3408315141995608,0.21911374339171585,0.20937484678341736,0.2858195705342172,0.2538045393370766,0.16892197339804177,0.3029044142179864,0.3438923491810007,0.2472821290730336,0.39123348360268845,0.1172646511152281,0.13067696321056477,0.1408616800517653,0.06458509519220273,0.12495493766508511,0.19610947743501883,0.3033088645331661,0.36985007103986783,0.41903797656026187,0.1776920391885111,0.2698205452452177,0.19589306072130924,0.04325890623891807,0.03444022526747159,0.14519658730360954,0.24852797209307836,-0.018085292344402645,0.2513067521195829,0.3969039854579083,0.23842177820959684,0.39881611246667564,0.47025813871007294,0.2292425468671179,0.21174713461747427,0.22368589463074218
K14,0.4313967292862621,1.0,0.5579892420920214,0.5947868501871402,0.5207120638734015,0.5073009675980379,0.4436785921111278,0.6095721050694113,0.76979414107414,0.6119605478444698,0.7611186169824211,0.6433746990467197,0.5929030444436963,0.29927292533626926,0.561685369146246,0.04705301689356348,0.4208346744103842,0.6526204295009209,0.4806276901385003,0.5726003828177736,0.3245509150800325,0.6365566563479121,0.5818152500723713,0.5898956390743181,0.5464108782952837,0.5747099616694078,0.2531868948224181,0.5875211822279627,0.4105250489603996,0.6596272023327348,0.6877145372894846,0.7033660750278808,0.7361252156865223,0.7344360636648553,0.6963921019727086,0.485054309864194,0.6285792324436438,0.6652501516108632,0.6429733148984277,0.6308666278260289,0.5255107683954465,0.5762077789303499,0.5308192676324137,0.5168632226502712,0.7059319605301935,0.6301219646665158,0.5594791892943786,0.6246532643721622,0.5961144535147219,0.7311293196315288,0.6236123538173839,0.5476048411706662,0.4685946548255285,0.6858120289164149,0.6277065172516356,0.3605111317563425,0.7159679089957122,0.6349142204021112,0.45512377958094413,0.626741630882386,0.5999657881089366,0.7519960310183461,0.5289352702319166,0.6878824934291586
K15,0.08973508488485861,0.5579892420920214,1.0,0.39821891942139004,0.1449643025458015,0.1129214168940131,0.009891747363491977,0.33820438199183295,0.7400321546598806,0.3336657238874292,0.32182691056090534,0.2471167907587834,0.13223569113334438,0.027136842055195416,0.11084314729381158,-0.06733734439426921,0.23117351255223667,0.27457922066174234,0.09821118174852156,0.13190932238321323,0.26233734074473103,0.2036046240206361,0.22231555253999202,0.19160993770804005,0.29019289678035676,0.2538448688155445,0.13394688710827982,0.3117787878694573,0.25573385160392026,0.30550215169905237,0.4017026989284283,0.5399229454498067,0.48807870757210553,0.5068224477266041,0.6059116084003853,0.5838959769928359,0.5126144304098351,0.6853056650212171,0.6013011973497145,0.6848283097807081,0.6962829547463882,0.5963692176839436,0.7990496482788728,0.7953129225139702,0.7055215887548343,0.4652820725996021,0.4837019358122949,0.35580682470837816,0.5338215838171326,0.6049188357654518,0.6026908051179383,0.6647948681153111,0.4814767399465632,0.6168235310714779,0.432646871776993,0.7150668206481974,0.829517870757507,0.35993990900552314,0.15664324597601936,0.31360839589509515,0.2081436475148224,0.6395929147488129,0.47285482968028236,0.5277376571294131
K2,0.27101734377281894,0.5947868501871402,0.39821891942139004,1.0,0.5801999213459855,0.6347415662598909,0.6136329637499528,0.7716470257663596,0.717502720436055,0.840890731230897,0.7668617409476737,0.6357894029334026,0.6544587415871854,0.21767387861714899,0.5791728806557603,0.28132433451140904,0.5980256599321417,0.6445707612633786,0.47758955083845883,0.615387630894211,0.6801342796613521,0.745992337792239,0.6499691115475991,0.6588982240125104,0.7606638399986982,0.7427278261289703,0.36430260146351084,0.8271961974243237,0.6087185781236756,0.7148263493240596,0.5749435622006456,0.6644374446631799,0.6878226512043378,0.7617417409021189,0.762315681288438,0.505006359658859,0.6320603995270748,0.6994682356678533,0.5459797828567156,0.5669608200642995,0.563969130665421,0.4027904387314975,0.4212401273986329,0.4111222366746401,0.5867471395704376,0.7790221435414966,0.6833497016298719,0.7613960593504315,0.7050894669141003,0.7528299817031581,0.7254956151198353,0.42670218852646014,0.5889176301729485,0.6019312441913376,0.6672909346361152,0.190407451106799,0.7082078314818212,0.7084059070217829,0.594476596565823,0.8418206124443189,0.7385122455048976,0.5919257474381746,0.3675303039528961,0.7418723465224495
K3,0.18478118893134846,0.5207120638734015,0.1449643025458015,0.5801999213459855,1.0,0.8376066616205634,0.593356212625288,0.6571841310711883,0.4130234597513242,0.6842006379702931,0.6175408188675106,0.6739916344556445,0.6967554985575465,0.3446349748007601,0.6935699335854499,0.2849538718231928,0.6784377355437616,0.6868963865330484,0.7061208477709411,0.7997971423501337,0.4831239203024566,0.7091845934592106,0.5599999867405279,0.8076817730398457,0.5569397443944453,0.6958518719660166,0.4883115213771754,0.7269161110800655,0.6057039275604015,0.4584714448503522,0.4147369637152504,0.5439934283492243,0.5938543355296623,0.6507167249641174,0.5602198636595042,0.2608363685626281,0.6390361418320162,0.5957634797764598,0.5140089216778324,0.5214103778354272,0.4628317193401422,0.27542658642192797,0.29754031769672545,0.3007146092030111,0.4471146217403804,0.6232985495859497,0.5749194241096341,0.6695334875224305,0.5129216112726326,0.6084298563552683,0.6443961877350959,0.30540460204630593,0.5370644203990487,0.5395145485737133,0.5968275556340611,-0.019912187355914907,0.37566555255116874,0.49243050351868983,0.8331617527279925,0.5454473457317893,0.6333808275142186,0.5081085892013082,0.29356557520055393,0.6551021472333519
K4,0.2909180414338175,0.5073009675980379,0.1129214168940131,0.6347415662598909,0.8376066616205634,1.0,0.49080887720339533,0.6818178822015444,0.40803605270943505,0.7251722870207026,0.6165893178474259,0.6255602256722211,0.6985263298362955,0.30777429308009785,0.7582864401729505,0.19241768404191112,0.7229587498688038,0.6542868778557909,0.5453104903540602,0.7711380501176275,0.55459363708537,0.7555067417946806,0.5252239868671429,0.7104003674763236,0.5567784414144074,0.612434020773847,0.4618748560563292,0.6662424788307875,0.6032903246052158,0.48037972486719027,0.3376003440336984,0.4899893144084371,0.5756623979938224,0.65017365392332,0.5449739699607856,0.23965569412178608,0.6199623833878519,0.5717682461573139,0.5600436861653553,0.4488392872341037,0.48704719986816675,0.21989297343291317,0.26452686039754303,0.334362745042085,0.39442611940501526,0.6268553491797614,0.604735106033247,0.6911132609264846,0.49704442567585616,0.5521201894261724,0.6288613930866025,0.22628239878003178,0.5151766188923592,0.5167290207492188,0.520241860955341,-0.06797271647848346,0.3902705699698126,0.4713567817435278,0.8758302621063291,0.6020377743674843,0.6500088709126419,0.479244329980471,0.35358867234809144,0.6780207722718826
K5,0.3737607044634341,0.4436785921111278,0.009891747363491977,0.6136329637499528,0.593356212625288,0.49080887720339533,1.0,0.5841869379111946,0.43836574541714096,0.5923032329842236,0.6598905459892529,0.5019440338682866,0.636078740940741,0.30386600734590447,0.544488709361078,0.3505147399768821,0.40855418547076355,0.50797036794387,0.5235926705328269,0.5438183790831254,0.5134221121103136,0.5897229855315772,0.5951815631153854,0.5636461191398721,0.6571684054231272,0.5265600419607726,0.305230724479871,0.534771831774862,0.4318916190235375,0.566657226771489,0.48606602831669443,0.3920477031297556,0.36180518940817746,0.5093830008614793,0.36964868826888114,0.3046367695217604,0.2800776610230263,0.2955168494458023,0.2711452290798728,0.2964545341456812,0.20417439662394996,0.15257508959129984,0.06652314465688186,0.05482828932864823,0.30082244976231826,0.4931938405065567,0.4203167469859702,0.6657905941271169,0.3875941527062821,0.4525480054557029,0.480156507375264,0.0677597840017863,0.21530204684612153,0.2118140985352816,0.46417459048024584,-0.014719176908935106,0.37169287844718135,0.5519547972295303,0.4645273151823358,0.5740243435072153,0.6247431577640054,0.25716173828560246,0.0681395167312396,0.3584969382252051
K7,0.31381115334906484,0.6095721050694113,0.33820438199183295,0.7716470257663596,0.6571841310711883,0.6818178822015444,0.5841869379111946,1.0,0.720817329821821,0.8600075521778852,0.7888842935184248,0.6914005028689513,0.719577048106454,0.3945360178192814,0.7038494188067611,0.1327556774120563,0.5503173555328184,0.7217430502349019,0.5474562615739812,0.6354236508287155,0.6541488771513528,0.7963890236550059,0.590046072330805,0.6803029947678652,0.6831934502709688,0.6614681078938083,0.3663991034558076,0.7922983302723777,0.6009425206297825,0.7310525561319539,0.5564880910242888,0.5690646894889453,0.5907849774125685,0.7528813567980732,0.7741035398979997,0.41044874073028736,0.5806828934726113,0.689377321637995,0.5724947215487668,0.5504325805611366,0.45876786527445546,0.2511040644513977,0.4335952710361305,0.3941552556358063,0.5642234440379849,0.8074176980041964,0.6392888553459946,0.872010723776619,0.6463480313119778,0.5971619034633631,0.6527891838484673,0.35363322013755333,0.519559190230043,0.5808856384849985,0.5877593036938374,-0.00013872892892670302,0.6188200370517462,0.7447089474585612,0.6254534018331619,0.7113492068857177,0.750594996010196,0.49778872744810626,0.33500780149424847,0.6210581533436523
LANA,0.340166790744407,0.76979414107414,0.7400321546598806,0.717502720436055,0.4130234597513242,0.40803605270943505,0.43836574541714096,0.720817329821821,1.0,0.6555114993526944,0.7108202762219511,0.5446784963474391,0.5104227678369051,0.25734342410862615,0.4587028007875142,0.15019820427374458,0.45518372310064353,0.5606163164645609,0.35653160070586665,0.46943968466864094,0.4802898408258012,0.5017623628994426,0.48188801313100776,0.48848287590340017,0.5890447674108064,0.5998794198647833,0.2342757533014437,0.6406827583275421,0.3699206065727547,0.6781982234717793,0.6208458591556516,0.673766708790938,0.6081475457542189,0.7414966912939699,0.729484720232299,0.558393758069479,0.6535774610896907,0.7540738681481408,0.685391232066895,0.6954452598968831,0.642935849603306,0.5318263125712221,0.702288213677144,0.6181858193989743,0.7857285191342204,0.755409105875466,0.6642189264669782,0.6875269968408543,0.66037858110608,0.7315279962613163,0.7019741076355026,0.6100808930335729,0.5087999040230763,0.7059753690032892,0.6486218923359423,0.44379624898914194,0.8918919465195104,0.681898778725924,0.372091027389631,0.6263392384635861,0.5599527347445677,0.6974912208113833,0.4879660881359409,0.6614058196090151
Orf10,0.37007163728568965,0.6119605478444698,0.3336657238874292,0.840890731230897,0.6842006379702931,0.7251722870207026,0.5923032329842236,0.8600075521778852,0.6555114993526944,1.0,0.7751153023659201,0.7456144758215026,0.787136924788184,0.41020623675543916,0.8027889666509566,0.15699172151366067,0.6216378715712149,0.8515608233052648,0.6185624412708001,0.7854051702573615,0.7165050437328779,0.8732934829588569,0.6644211285890014,0.7910285492730064,0.7467643052359535,0.8057438535868932,0.3752110798764345,0.7351965528800963,0.6766168868684754,0.7413507670721825,0.5788376697720379,0.7130397282164957,0.7495284963147048,0.7529686999586204,0.7582611172709187,0.5379368486791225,0.7228889410628292,0.76471731614643,0.6565270610912696,0.6523982526754017,0.6050507559187284,0.35409742284974677,0.43553882814954736,0.39430452497252977,0.5467482917268754,0.8272190229097897,0.707300444313238,0.9120500225613147,0.6166551167967077,0.6809605710362244,0.712513567558892,0.3956899932359687,0.546732108856294,0.6068047776435918,0.6870490732374691,0.0525589538456464,0.60844007444699,0.8233261552206508,0.6597241842184474,0.8507590983185312,0.8352495715367545,0.5745677121917612,0.3076168745262017,0.7408049713584216
