"type","Date","Array","Primer","Type","Gene","Concat","Good","Plate","X629","X731","X1314","X1700","X2572","X2741","X2858","X2910","X2969","X3544","X3937","X4428","X4678","X5485","X7121","X8239"
"CT","112511","KSHV dream array","ACTIN","human","ACTIN","KSHV dream arrayACTIN","bad","PP1",26.95,25.88,24.83,27.14,25.33,26.75,24.88,24.15,24.74,27.27,25.87,32.84,27.25,26.98,27.27,24.69
"CT","112511","KSHV dream array","ACTIN (2)","human","actin","KSHV dream arrayACTIN (2)","good","PP2",26.74,25.9,24.47,27.31,25.55,26.59,24.99,23.86,24.85,27.19,25.81,32.58,26.84,27.42,27.4,24.71
"CT","112511","KSHV dream array","B2M","human","B2M","KSHV dream arrayB2M","bad","PP1",24.37,22.55,55.5022817654535,24.45,21.55,23.28,22.82,20.99,22.41,24.83,24.32,28.77,24.32,24.74,24.27,22.64
"CT","112511","KSHV dream array","B2M (2)","human","b2m","KSHV dream arrayB2M (2)","good","PP2",24.22,22.39,22.15,23.97,21.72,23.01,22.45,20.96,22.28,24.66,24.22,28.54,23.96,24.1,23.98,22.57
"CT","112511","KSHV dream array","BACT","human","BACT","KSHV dream arrayBACT","bad","PP1",54.6974032595754,23.64,23.21,26.54,23.91,24.86,23.93,22.77,22.85,25.37,23.77,29.68,25.63,25.41,25.43,22.95
"CT","112511","KSHV dream array","BACT (2)","human","bact","KSHV dream arrayBACT (2)","good","PP2",24.43,23.43,22.26,24.34,22.93,23.68,22.94,21.42,22.43,24.89,23.57,55.1232965248637,24.83,54.5701994090341,24.69,22.89
"CT","112511","KSHV dream array","GAPDH (2)","human","GAPDH (2)","KSHV dream arrayGAPDH (2)","bad","PP2",27,25.77,25.66,26.85,23.89,24.72,24.75,24.01,25.3,27.06,26.24,30.8,26.97,26.54,27.7,24.57
"CT","112511","KSHV dream array","HPRT","human","HPRT","KSHV dream arrayHPRT","bad","PP1",32,30.96,30.5,32.01,30.33,30.97,30.57,29.82,30.64,32.93,31.55,54.546475097537,32.68,32.88,32.86,30.53
"CT","112511","KSHV dream array","HPRT (2)","human","HPRT (2)","KSHV dream arrayHPRT (2)","bad","PP2",32.19,31.27,30.36,32.5,29.94,30.78,30.28,29.72,30.41,32.83,31.05,34.86,32.21,32.55,32.78,30.2
"CT","112511","KSHV dream array","K1 (348)","KSHV","K1","KSHV dream arrayK1 (348)","good","PP1",54.155610003043,38.96,55.5563790565357,54.8185494649224,55.9187992559746,55.4191414942034,54.0098846047185,55.5417102812789,55.4839920084924,54.9470911403187,55.5745937069878,54.443673721049,55.7716256142594,54.550698840525,55.8773298226297,55.4640068309382
"CT","112511","KSHV dream array","K1 (622)","KSHV","K1","KSHV dream arrayK1 (622)","good","PP1",55.3832651213743,55.4732129792683,55.5912433667108,55.6256416388787,54.4056346281432,54.9904254684225,54.1285829655826,46.6266381625645,54.6697604898363,54.4925126121379,55.1455457946286,54.2943674060516,55.6746741845272,54.5241210744716,54.4855193151161,54.2785700038075
"CT","112511","KSHV dream array","K14 (128145)","KSHV","K14","KSHV dream arrayK14 (128145)","good","PP2",55.5738561241888,55.525305446703,55.6727700307965,55.7174555035308,54.890356099233,54.541850773152,55.6609137640335,55.195307043381,55.1114514153451,54.3891386124305,54.8307425994426,55.0793818654492,54.9467102447525,55.3994141616859,55.9612527261488,55.0524924374186
"CT","112511","KSHV dream array","K14 (128651)","KSHV","K14","KSHV dream arrayK14 (128651)","good","PP2",54.9422305463813,54.2095831530169,55.9227915201336,55.4034142773598,54.1310697142035,55.2414233926684,55.9661430069245,54.0129298861139,54.3972363392822,54.8012135354802,55.5296975229867,55.5883767721243,55.299973575864,54.9843461681157,55.6705502797849,36.01
"CT","112511","KSHV dream array","K14 or ORF74 (129773)","KSHV","K14 or ORF74","KSHV dream arrayK14 or ORF74 (129773)","good","PP2",54.2556323236786,55.3060577032156,33.22,54.3000048487447,55.1225202707574,55.1013995758258,35.54,55.1014276687056,34.95,34.56,55.8669230793603,54.8608396057971,54.6985768531449,54.2987133790739,55.1168394498527,34.99
"CT","112511","KSHV dream array","K14 or ORF74 (129945)","KSHV","K14 or ORF74","KSHV dream arrayK14 or ORF74 (129945)","good","PP2",55.0414861445315,54.769536302425,34.11,54.8464156622067,54.0143575286493,54.8573415805586,55.2524722977541,54.0895669385791,36.38,35.82,35.12,55.0053588645533,55.3011639597826,55.2163554560393,54.9709514677525,34.13
"CT","112511","KSHV dream array","K14 or ORF74 (130126)","KSHV","K14 or ORF74","KSHV dream arrayK14 or ORF74 (130126)","good","PP2",54.1409754846245,55.5710145290941,35.71,54.0975635632873,55.4151764190756,52.3248443915322,55.647855645977,54.7337666638196,55.4715431835502,54.6930551249534,54.1658779368736,55.7544200620614,36.06,55.5257185893133,55.9149898565374,54.9370446098037
"CT","112511","KSHV dream array","K15 (130749)","KSHV","K15","KSHV dream arrayK15 (130749)","good","PP2",31.89,30.89,29.55,34.95,32.25,31.99,32.29,31.02,30.27,29.97,31.57,54.7151203858666,31.58,31.22,55.5868527526036,29.35
"CT","112511","KSHV dream array","K15 (131458)","KSHV","K15","KSHV dream arrayK15 (131458)","good","PP2",32.68,33.07,29.43,35.19,34.53,32.59,31.83,30.65,30.34,29.86,32.87,54.9312480548397,32.19,31.24,35.14,30.57
"CT","112511","KSHV dream array","K2 or Orf2 (17821)","KSHV","K2 or Orf2","KSHV dream arrayK2 or Orf2 (17821)","good","PP1",36.47,33.69,34.31,40.55,54.066949586384,36.44,35.52,32.53,31.54,32,33.68,54.1078958441503,34.99,32.98,36.98,32.41
"CT","112511","KSHV dream array","K3 (18883)","KSHV","K3","KSHV dream arrayK3 (18883)","good","PP1",36.18,55.5766448909417,54.4847055268474,55.0521373888478,54.1848954772577,37.09,37.29,36.09,36.04,55.7638126919046,55.3157551684417,54.0123127126135,55.80490310397,55.8919154303148,55.3957553491928,35.83
