type,Date,Array,Primer,Type,Gene,Concat,Good,Plate,629,731,1314,1700,2572,2741,2858,2910,2969,3544,3937,4428,4678,5485,7121,8239
CT,112511,KSHV dream array,K1 (348),KSHV,K1,KSHV dream arrayK1 (348),good,PP1,60,38.96,60,60,60,60,60,60,60,60,60,60,60,60,60,60
CT,112511,KSHV dream array,K1 (622),KSHV,K1,KSHV dream arrayK1 (622),good,PP1,60,60,60,60,60,60,60,46.09,60,60,60,60,60,60,60,60
CT,112511,KSHV dream array,K14 (128145),KSHV,K14,KSHV dream arrayK14 (128145),good,PP2,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
CT,112511,KSHV dream array,K14 (128651),KSHV,K14,KSHV dream arrayK14 (128651),good,PP2,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,36.01
CT,112511,KSHV dream array,K14 or ORF74 (129773),KSHV,K14 or ORF74,KSHV dream arrayK14 or ORF74 (129773),good,PP2,60,60,33.22,60,60,60,35.54,60,34.95,34.56,60,60,60,60,60,34.99
CT,112511,KSHV dream array,K14 or ORF74 (129945),KSHV,K14 or ORF74,KSHV dream arrayK14 or ORF74 (129945),good,PP2,60,60,34.11,60,60,60,60,60,36.38,35.82,35.12,60,60,60,60,34.13
CT,112511,KSHV dream array,K14 or ORF74 (130126),KSHV,K14 or ORF74,KSHV dream arrayK14 or ORF74 (130126),good,PP2,60,60,35.71,54.1,60,52.27,60,60,60,60,60,60,36.06,60,60,60
CT,112511,KSHV dream array,K15 (130749),KSHV,K15,KSHV dream arrayK15 (130749),good,PP2,31.89,30.89,29.55,34.95,32.25,31.99,32.29,31.02,30.27,29.97,31.57,60,31.58,31.22,60,29.35
CT,112511,KSHV dream array,K15 (131458),KSHV,K15,KSHV dream arrayK15 (131458),good,PP2,32.68,33.07,29.43,35.19,34.53,32.59,31.83,30.65,30.34,29.86,32.87,60,32.19,31.24,35.14,30.57
CT,112511,KSHV dream array,K2 or Orf2 (17821),KSHV,K2 or Orf2,KSHV dream arrayK2 or Orf2 (17821),good,PP1,36.47,33.69,34.31,40.55,60,36.44,35.52,32.53,31.54,32,33.68,60,34.99,32.98,36.98,32.41
CT,112511,KSHV dream array,K3 (18883),KSHV,K3,KSHV dream arrayK3 (18883),good,PP1,36.18,60,60,60,60,37.09,37.29,36.09,36.04,60,60,60,60,60,60,35.83
CT,112511,KSHV dream array,K3 (19081),KSHV,K3,KSHV dream arrayK3 (19081),good,PP1,60,60,60,60,60,36.04,36.77,60,60,36.31,60,60,60,37.93,60,60
CT,112511,KSHV dream array,K3 (19577),KSHV,K3,KSHV dream arrayK3 (19577),good,PP1,60,60,60,60,60,60,60,60,60,38.68,60,60,60,36.65,60,51.44
CT,112511,KSHV dream array,K4 (21778),KSHV,K4,KSHV dream arrayK4 (21778),good,PP1,34.76,60,60,60,60,39.17,36.48,60,60,35.55,60,60,60,35.82,60,60
CT,112511,KSHV dream array,K4 (21778),KSHV,K4,KSHV dream arrayK4 (21778),good,PP1,60,60,60,39.81,60,36.79,36.03,37.4,60,36.1,60,60,60,60,60,35.62
CT,112511,KSHV dream array,"K5 (26200,2)",KSHV,K5,"KSHV dream arrayK5 (26200,2)",good,PP2,36.96,33.94,28.24,35.13,46.98,33.84,31.88,33.49,35.47,34.42,45.99,46.38,34.61,33.28,47.78,32.58
CT,112511,KSHV dream array,K5 (26200),KSHV,K5,KSHV dream arrayK5 (26200),good,PP1,60,35.25,30.51,43.14,37.6,38.55,35.7,34.64,34.66,33.57,36.67,60,35.4,36.82,60,34.9
CT,112511,KSHV dream array,K7 (28624),KSHV,K7,KSHV dream arrayK7 (28624),good,PP1,33.7,60,31.03,39.93,60,60,60,60,35.19,34,34.91,60,60,34.29,60,60
