"type","Date","Array","Primer","Type","Gene","Concat","Good","Plate","X629","X731","X1314","X1700","X2572","X2741","X2858","X2910","X2969","X3544","X3937","X4428","X4678","X5485","X7121","X8239"
"CT","112511","KSHV dream array","ACTIN","human","ACTIN","KSHV dream arrayACTIN","bad","PP1",26.95,25.88,24.83,27.14,25.33,26.75,24.88,24.15,24.74,27.27,25.87,32.84,27.25,26.98,27.27,24.69
"CT","112511","KSHV dream array","ACTIN (2)","human","actin","KSHV dream arrayACTIN (2)","good","PP2",26.74,25.9,24.47,27.31,25.55,26.59,24.99,23.86,24.85,27.19,25.81,32.58,26.84,27.42,27.4,24.71
"CT","112511","KSHV dream array","B2M","human","B2M","KSHV dream arrayB2M","bad","PP1",24.37,22.55,44.3763820081949,24.45,21.55,23.28,22.82,20.99,22.41,24.83,24.32,28.77,24.32,24.74,24.27,22.64
"CT","112511","KSHV dream array","B2M (2)","human","b2m","KSHV dream arrayB2M (2)","good","PP2",24.22,22.39,22.15,23.97,21.72,23.01,22.45,20.96,22.28,24.66,24.22,28.54,23.96,24.1,23.98,22.57
"CT","112511","KSHV dream array","BACT","human","BACT","KSHV dream arrayBACT","bad","PP1",44.0832175510004,23.64,23.21,26.54,23.91,24.86,23.93,22.77,22.85,25.37,23.77,29.68,25.63,25.41,25.43,22.95
"CT","112511","KSHV dream array","BACT (2)","human","bact","KSHV dream arrayBACT (2)","good","PP2",24.43,23.43,22.26,24.34,22.93,23.68,22.94,21.42,22.43,24.89,23.57,44.1375884185545,24.83,44.1560579063371,24.69,22.89
"CT","112511","KSHV dream array","GAPDH (2)","human","GAPDH (2)","KSHV dream arrayGAPDH (2)","bad","PP2",27,25.77,25.66,26.85,23.89,24.72,24.75,24.01,25.3,27.06,26.24,30.8,26.97,26.54,27.7,24.57
"CT","112511","KSHV dream array","HPRT","human","HPRT","KSHV dream arrayHPRT","bad","PP1",32,30.96,30.5,32.01,30.33,30.97,30.57,29.82,30.64,32.93,31.55,44.3534068539739,32.68,32.88,32.86,30.53
"CT","112511","KSHV dream array","HPRT (2)","human","HPRT (2)","KSHV dream arrayHPRT (2)","bad","PP2",32.19,31.27,30.36,32.5,29.94,30.78,30.28,29.72,30.41,32.83,31.05,34.86,32.21,32.55,32.78,30.2
"CT","112511","KSHV dream array","K1 (348)","KSHV","K1","KSHV dream arrayK1 (348)","good","PP1",45.15732593555,38.96,45.1100364718586,45.3254963569343,45.173920402769,44.3607196956873,44.0580956190825,45.7714537740685,45.708504055161,44.4521363805979,44.1421352606267,44.4066149909049,45.0461770873517,45.2600927622989,45.7171062845737,44.9210139168426
"CT","112511","KSHV dream array","K1 (622)","KSHV","K1","KSHV dream arrayK1 (622)","good","PP1",44.9248864161782,45.1573306634091,44.6426813569851,45.0758981290273,44.5446241041645,44.9363608490676,44.8390107629821,45.9641258620285,45.9786656456999,44.8148634438403,45.3687286153436,45.7038330766372,44.0398824783042,45.2752129589207,45.8066662559286,44.9810527339578
"CT","112511","KSHV dream array","K14 (128145)","KSHV","K14","KSHV dream arrayK14 (128145)","good","PP2",44.3875257265754,44.1839542374946,44.8622940909117,44.5783024742268,45.0119592533447,44.3462983290665,44.9488778007217,44.2564216027968,44.784677717369,44.6454737000167,45.2965986942872,44.5057793091983,44.2625087713823,44.3532614880241,44.0684468429536,44.9375660084188
"CT","112511","KSHV dream array","K14 (128651)","KSHV","K14","KSHV dream arrayK14 (128651)","good","PP2",45.9475046298467,45.3100427552126,45.5760045833886,45.3465746589936,45.3055952135473,45.9006388504058,45.1678711548448,45.977194132749,45.5054806726985,44.3513146420009,44.2510832827538,45.0065355310217,44.4439663724042,45.2388854231685,44.3106359997764,36.01
"CT","112511","KSHV dream array","K14 or ORF74 (129773)","KSHV","K14 or ORF74","KSHV dream arrayK14 or ORF74 (129773)","good","PP2",44.8498479244299,45.5898261945695,33.22,44.4181535397656,45.1268014521338,44.544439535588,35.54,44.3955398919061,34.95,34.56,45.3382813213393,44.2006747117266,44.1368162343279,44.4542934740894,45.2649369467981,34.99
"CT","112511","KSHV dream array","K14 or ORF74 (129945)","KSHV","K14 or ORF74","KSHV dream arrayK14 or ORF74 (129945)","good","PP2",45.4443126744591,45.3619733499363,34.11,45.6578859686852,45.9948932095431,44.620193393901,44.0502172224224,45.0867671701126,36.38,35.82,35.12,44.0810040142387,45.2729744361714,44.0902345734648,44.3771153967828,34.13
"CT","112511","KSHV dream array","K14 or ORF74 (130126)","KSHV","K14 or ORF74","KSHV dream arrayK14 or ORF74 (130126)","good","PP2",44.1640148516744,44.8931983131915,35.71,54.1102377370931,44.695830468554,52.0669514252618,44.0830368297175,45.924847018905,44.0278255208395,45.1841780678369,44.1040998622775,44.7461054227315,36.06,45.8759793029167,44.169843621552,44.1152461091988
"CT","112511","KSHV dream array","K15 (130749)","KSHV","K15","KSHV dream arrayK15 (130749)","good","PP2",31.89,30.89,29.55,34.95,32.25,31.99,32.29,31.02,30.27,29.97,31.57,45.9813827155158,31.58,31.22,44.6771889217198,29.35
"CT","112511","KSHV dream array","K15 (131458)","KSHV","K15","KSHV dream arrayK15 (131458)","good","PP2",32.68,33.07,29.43,35.19,34.53,32.59,31.83,30.65,30.34,29.86,32.87,44.7377535812557,32.19,31.24,35.14,30.57
"CT","112511","KSHV dream array","K2 or Orf2 (17821)","KSHV","K2 or Orf2","KSHV dream arrayK2 or Orf2 (17821)","good","PP1",36.47,33.69,34.31,40.55,44.5664921705611,36.44,35.52,32.53,31.54,32,33.68,44.4037857856601,34.99,32.98,36.98,32.41
"CT","112511","KSHV dream array","K3 (18883)","KSHV","K3","KSHV dream arrayK3 (18883)","good","PP1",36.18,45.2984597282484,45.2806690242141,44.7429984211922,45.6158367292956,37.09,37.29,36.09,36.04,44.2621653266251,44.1983079067431,45.490910416469,45.651172817219,45.022014844697,44.1333138113841,35.83
