days	step
0.00	1
1.00	2
6.00	3
21.00	4
23.00	5
27.00	6
27.00	7
28.00	8
29.00	9
35.00	10
36.00	11
42.00	12
42.00	13
47.00	14
49.00	15
51.00	16
58.00	17
62.00	18
65.00	19
65.00	20
65.00	21
68.00	22
69.00	23
69.00	24
70.00	25
74.00	26
77.00	27
81.00	28
84.00	29
97.00	30
104.00	31
104.00	32
112.00	33
113.00	34
119.00	35
133.00	36
133.00	37
159.00	38
177.00	39
184.00	40
187.00	41
208.00	42
209.00	43
285.00	44
322.00	45
323.00	46
333.00	47
352.00	48
362.00	49
366.00	50
369.00	51
381.00	52
406.00	53
409.00	54
427.00	55
435.00	56
463.00	57
467.00	58
472.00	59
511.00	60
522.00	61
527.00	62
528.00	63
549.00	64
549.00	65
553.00	66
621.00	67
640.00	68
