"K1_348"	"K1_622"	"K2orOrf2_17821"	"K3_18883"	"K3_19081"	"K3_19577"	"K4_21778"	"K5_26200"	"K7_28624"	"K7_28694"	"Orf10or4_6_7_8_9_15008"	"Orf10or4_6_7_8_9_15244"	"Orf10or4_6_7_8_9_15288"	"Orf11or10_9_8_7_6_4_16677"	"Orf22or21_38336"	"Orf22or21_38857"	"Orf34orOrf35_55680"	"Orf36orOrf34or35_56709"	"ORF16_30265"	"ORF16_30403"	"ORF17_31829"	"ORF17_32510"	"ORF17orOrf17.5_31509"	"ORF18_32935"	"Orf18or20or19_33405"	"Orf20orOrf19_34089"	"Orf20orOrf19_34848"	"Orf20orOrf19_35199"	"Orf20orOrf19_35440"	"Orf21_36500"	"Orf23or24_39603"	"Orf23or24_39786"	"Orf24_41283"	"Orf24_41630"	"Orf25_45767"	"Orf27or26or25_48071"	"Orf27or26or25_48265"	"Orf29_49612"	"Orf29_49613"	"Orf29_54355"	"Orf30orOrf29_50891"	"Orf30orOrf29or31_50984"	"Orf30orOrf29or31_51123"	"Orf32or29_30_31_51996"	"Orf32or29_30_31_52828"	"Orf33or29_30_31_32_53424"	"Orf37or34_35_36_57765"	"Orf37or34_35_36_58237"	"Orf39_60036"	"Orf40_60631"	"Orf40_61476"	"Orf40_62028"	"Orf40_62161"	"Orf42orOrf43_62906"	"ORF6or4_5672"	"ORF6or4_5859"	"ORF6or4_5921"	"Orf7or6or4_8189"	"Orf7or6or4_8314"	"ORF70_20979"	"ORF71_vFLIP_122381"	"ORF71_vFLIP_122443"	"Orf73_LANA_124002"	"Orf73_LANAor72_vCyc_123511"	"Orf9or4_6_7_8_13806"	"BACT_2"	"K14_128651"	"K14orORF74_129773"	"K14orORF74_129945"	"K14orORF74_130126"	"K15_130749"	"K15_131458"	"K5_26200_2"	"Orf34orOrf35_55680_2"	"Orf36orOrf34or35_56709_2"	"Orf21_36102_2"	"Orf21_36500_2"	"Orf34_55359_2"	"Orf37or34_35_36_57765_2"	"Orf43_63567"	"Orf43_63853"	"Orf43_64036"	"Orf44_66282"	"Orf44_66755"	"Orf45_46_47_48_68227"	"Orf46_47_48_69318"	"Orf47or48_69635"	"Orf47or48_69773"	"Orf48_70402"	"Orf49or50_71851"	"Orf49or50_72352"	"Orf52_77022"	"Orf52_77128"	"Orf54_77844"	"Orf54_78056"	"Orf55_78956"	"Orf55_79193"	"Orf56_81267"	"Orf56_81650"	"Orf56or57_83216"	"Orf58or59_60_61_62_94692"	"Orf58or59_60_61_62_94950"	"Orf58or59_60_61_62_95417"	"Orf59_60_61_62_95961"	"Orf59_60_61_62_96407"	"Orf60_61_62_97138"	"Orf60_61_62_97630"	"Orf61or62_98333"	"Orf61or62_98515"	"Orf62_100787"	"Orf62_100977"	"Orf62_101132"	"Orf63_103119"	"Orf63_103639"	"Orf63orOrf64_111231"	"Orf63orOrf64_111599"	"Orf65or66_67_67A_112376"	"Orf66or67_67A_112774"	"Orf66or67_67A_113453"	"Orf66or67_67A_114218"	"Orf66or67_67A_114453"	"Orf67or67A_113980"	"Orf68_115939"	"Orf68orOrf69_116922"	"Orf68orOrf69_117120"	"ORF71_vFLIP_122381_2"	"ORF71_vFLIP_122443_2"	"Orf73_LANA_124002_2"	"Orf73_LANAor72_vCyc_123511_2"	"vIRF1_K9_84086"	"vIRF1_K9_84202"	"vIRF1_K9_84969"	"vIRF2_92617"	"vIRF4_86524"	"vIRF4_86975"	"Orf73_LANA_124002_2a"
-27.81	-24.96	-18.77	-22.86	-27.44	-14.47	-21.82	-28.73	-19.51	-15.5	-22.6	-25.73	-34.8	-22.23	-26.33	-24.36	-27.24	-25.27	-30.69	-26.26	-28.75	-21.97	-14.56	-27.31	-22.44	-20.59	-25.88	-28.29	-26.09	-22.07	-25.99	-25.97	-25.92	-25.39	-25.6	-22.55	-24.85	-30.87	-31.48	-22.55	-30.11	-24.66	-30.06	-28.67	-30.05	-28.46	-24.46	-21.78	-29.94	-25.19	-29.29	-28.35	-27.64	-20.03	-31.14	-25.89	-19.66	-30.67	-30.08	-26.1	-21.93	-22.48	-30	-18.32	-30.51	-10.79	-23.2	-30.44	-23.47	-26.27	-16.42	-17.06	-12.78	-24.27	-30.88	-23.28	-24.47	-30.07	-24.63	-34.39	-29.4	-30.34	-30.69	-31.43	-18.89	-31.42	-30.76	-26.24	-29.35	-26.57	-30.49	-18.07	-31.4	-27.13	-10.43	-17.99	-30.91	-26.28	-29.73	-10.99	-12.83	-19.22	-24.11	-18.39	-24.46	-17.47	-31.35	-30.49	-19.04	-23.95	-27.89	-27.71	-24.98	-30.23	-29.36	-30.03	-23.78	-26.85	-24.34	-21.97	-30.65	-17.48	-30.82	-28.3	-26.49	-19.93	-18.07	-29.33	-18.15	-22.11	-23.28	-23.72	-29.92	-24.77	-24.03	-30.71
-23.43	-25.32	-17.08	-31.07	-28.77	-14.71	-31.6	-20.35	-29.08	-18.21	-23.69	-26.2	-28.61	-32.28	-27.92	-31.48	-28.68	-36.04	-30.63	-26.41	-28.81	-31.78	-14.83	-28.49	-23.78	-20.61	-25.62	-28.03	-26.33	-27.69	-25.36	-25.8	-25.33	-25.74	-25.95	-23.42	-25.32	-32.23	-31.55	-23.07	-22.74	-26.51	-30.58	-28.89	-30.7	-27.77	-30.33	-31.66	-31.48	-26.51	-30.03	-29.15	-27.83	-25.49	-30.36	-26.29	-20.14	-28.16	-31.53	-25.64	-20.46	-20.44	-25.49	-20.07	-30.73	-10.43	-23.9	-30.79	-24.38	-28	-16.08	-17.84	-11.43	-24.02	-38.85	-24.4	-25.23	-30.62	-24.89	-28.06	-30.33	-30.99	-31.58	-30.65	-15.12	-30.71	-30.82	-28.09	-30.51	-27.96	-22.97	-17.89	-31.46	-28.31	-10.9	-18.41	-31.53	-27.39	-30.72	-18.24	-17.47	-24.76	-31.64	-27.24	-23.85	-17.92	-30.43	-31.31	-27.8	-25.44	-27.53	-27.56	-25.88	-31.64	-29.97	-31.97	-24.67	-27.69	-25.46	-30.04	-30.53	-24.4	-32.1	-27.72	-26.87	-19.97	-17.71	-25.27	-18.49	-28.06	-23.82	-23.93	-31.22	-25.8	-24.81	-24.32
-28.93	-27.03	-17.91	-31.51	-28.22	-14.88	-32.36	-16.76	-18.03	-13.16	-24.01	-26.62	-20.54	-21.01	-22.78	-31.41	-19.86	-22.4	-31.08	-26.33	-29.44	-30.91	-11.85	-18.79	-24.38	-17.64	-25.5	-28.57	-25.68	-28.73	-25.84	-25.79	-26.43	-26.37	-25.69	-23.12	-26.38	-31.85	-25.85	-24.34	-32.05	-26.46	-31.17	-20.81	-31.31	-22.06	-23.14	-22.28	-32.41	-26.72	-29.6	-21.29	-29.31	-21.87	-31.84	-26.71	-20.08	-31.41	-30.67	-19.94	-20.01	-18.77	-27.62	-17.98	-31.13	-9.81	-24.73	-20.57	-16.66	-20.32	-15.34	-15.24	-8.37	-25.34	-32	-33.75	-25.63	-30.61	-19.43	-20.92	-22.09	-31.91	-31.71	-31.32	-11.44	-31.06	-23.46	-27.5	-30.07	-18.82	-23.66	-15.53	-30.92	-28.89	-6.7	-18.11	-31.62	-28.08	-30.32	-11.2	-13.53	-17.38	-27.05	-20.7	-17.08	-18.02	-30.8	-32.46	-28.27	-25.46	-29.27	-27.69	-26.04	-31.22	-38.5	-31.08	-24.33	-20.39	-17.38	-22.8	-23.32	-25.68	-31.12	-21.15	-28.27	-18.56	-16.31	-24.19	-17.26	-27.32	-25.04	-24.83	-31.23	-25.69	-25.36	-23.07
-28.76	-25.08	-21.89	-29.88	-28.67	-14.57	-31.2	-26.41	-24.82	-15.53	-22.42	-26.29	-27.55	-22.72	-27.84	-30.96	-28.07	-21.82	-29.9	-25.27	-29.58	-29.87	-13.79	-27.62	-23.08	-21.42	-24.93	-27.68	-25.76	-27.19	-26.02	-25.93	-24.64	-25.16	-25.14	-22.79	-26.01	-30.17	-30.07	-23.26	-31.12	-25.11	-29.98	-27.98	-31.13	-20.93	-30.94	-30.06	-31.08	-26	-29.88	-27.91	-27.45	-25.53	-23.83	-24.87	-19.12	-31.56	-30.85	-25.29	-25.59	-20.12	-26.23	-24.84	-29.99	-10.69	-24.37	-30.94	-24.28	-33.56	-18.88	-19.07	-11.66	-24.11	-30.16	-22.54	-24.66	-29.93	-20.22	-27.2	-29.8	-31.61	-22.97	-31.24	-12.24	-31.21	-31.09	-27.63	-29.99	-26.41	-31.46	-17.86	-30.69	-27.97	-9.91	-17.21	-31.61	-27.01	-30.06	-9.63	-12.78	-19.1	-27.8	-20.06	-16.2	-18.15	-30.74	-24.5	-26.99	-24.18	-25.5	-26.58	-22.94	-30.87	-29.72	-30.96	-23.9	-30.67	-24.18	-30.45	-30.11	-24.41	-30.87	-21.91	-27.65	-21.17	-19.84	-24.61	-21.8	-27.77	-23.17	-23.21	-30.39	-23.93	-24.44	-24.42
-28.31	-25.97	-26.48	-30.76	-28.5	-14.64	-32.01	-22.49	-30.19	-16.52	-17.59	-26.75	-29.01	-31.17	-29.22	-31.94	-28.92	-25.28	-31.08	-26.66	-30.29	-30.83	-14.62	-28.44	-23.6	-27.7	-26.51	-28.96	-26.53	-29.14	-26.28	-25.33	-20.92	-26.65	-25.95	-24	-20.53	-31.67	-23.7	-18.78	-31.83	-26.52	-32.12	-28.18	-22.48	-28.63	-24.01	-21.63	-24.44	-25.38	-30.61	-29.07	-28.12	-20.68	-31.5	-18.96	-14.31	-22.92	-31.48	-25.38	-22.6	-20.38	-24.28	-22.93	-30.6	-10.21	-24.67	-30.27	-24.55	-27.98	-17.37	-19.21	-19.64	-24.11	-31.5	-23.22	-26.01	-30.01	-19.37	-27.85	-29.89	-33.43	-22.87	-32.25	-14.04	-24.79	-34.93	-28.41	-30.29	-31.64	-31.85	-18.07	-31.07	-28.21	-10.9	-17.86	-32.16	-28.04	-31.42	-11.73	-13.38	-19.76	-25.25	-20.1	-17.58	-19.3	-30.96	-25.07	-18.21	-25.49	-27.91	-20.87	-24.97	-27.79	-25.71	-31.69	-23.83	-21.58	-24.62	-22.87	-30.73	-24.64	-24.94	-19.89	-18.75	-19.85	-17.59	-23.74	-18.32	-28.23	-24.97	-24.2	-30.79	-17.81	-16.79	-24.9
-28.61	-26.39	-19.01	-23.94	-20.81	-14.84	-26.05	-22.9	-28.98	-15.2	-18.17	-25.5	-28.56	-22.13	-28.03	-30.87	-20.81	-25.74	-30.47	-25.28	-29.94	-30.76	-10.54	-28.6	-23.01	-22.36	-25.65	-29.04	-25.78	-27.73	-25.93	-18.54	-25.09	-25.1	-26.43	-23.58	-26.21	-30.53	-31.21	-30.07	-31.7	-19.44	-31.7	-27.82	-31.05	-22.03	-30.36	-24.07	-25.07	-26.16	-29.18	-28.42	-27.97	-25.11	-24.35	-26.15	-19	-31.79	-30.11	-20.95	-19.94	-19.42	-20.56	-19.81	-31.55	-10.44	-23.57	-29.94	-23.78	-33.12	-16.78	-17.26	-11.18	-16.94	-28.37	-22.11	-24.48	-29.81	-18.87	-28.07	-31.04	-30.72	-31.96	-30.36	-18.6	-31.06	-31.69	-20.12	-30.92	-19.87	-31.36	-13.58	-30.63	-27.71	-10.2	-17.47	-30.39	-27.99	-30.2	-10.68	-12.99	-18.71	-23.85	-18.69	-17.8	-19.2	-23.95	-25.73	-19.55	-25.4	-28.49	-28.02	-25.48	-31.39	-30.92	-31.06	-23.75	-21.52	-25.05	-30.65	-36.94	-25.67	-30.66	-20.59	-20.54	-19.83	-17.11	-19.61	-17	-27.87	-24.35	-23.7	-31.12	-18.58	-24.77	-20.1
-28.12	-26.36	-18.65	-24.47	-21.77	-15.11	-23.99	-20.88	-30.32	-15.58	-19.01	-19.22	-28.34	-22.64	-29.3	-31.72	-20.45	-22.97	-31.31	-19.21	-29.76	-32.18	-12.03	-28.99	-23.73	-21.12	-25.71	-27.77	-25.24	-28.87	-25.51	-25.75	-25.84	-26.03	-22.26	-23.48	-26.54	-32.22	-30.56	-28.4	-30.47	-19.22	-31.64	-28.47	-31.16	-21.8	-31.79	-23.25	-31.02	-25.29	-30.18	-21.11	-28.48	-21.94	-31.62	-26.93	-13.53	-31.53	-30.66	-26.06	-20.75	-19.92	-26.44	-21.91	-31.25	-10.18	-24.11	-22.42	-24.42	-26.99	-17.37	-17	-10.36	-25.11	-35.52	-21.24	-24.63	-24.63	-18.75	-26.92	-31.12	-31.51	-31.44	-31.99	-12.78	-32.27	-31.54	-28.03	-31.55	-20.19	-30.97	-18.71	-30.81	-28.51	-10.64	-17.66	-31.69	-27.48	-30.46	-10.38	-13.23	-17.19	-26.37	-19.69	-19.25	-19.23	-31.48	-32.3	-27.11	-24.96	-28.6	-27.02	-24.71	-32.19	-29.85	-32.24	-25.14	-22.07	-17.71	-31.01	-30.88	-25.08	-31.4	-28.64	-28.13	-19.16	-17.16	-23.01	-18.74	-27.13	-25.18	-24.48	-30.88	-24.73	-25.73	-22.46
-28.41	-27.75	-16.87	-23.92	-28.42	-14.91	-32.72	-20.52	-30.63	-16.61	-24.66	-20.22	-29.07	-20.51	-29.03	-32.1	-31.19	-28.21	-31.53	-26.13	-29.93	-32.27	-15.6	-29.2	-23.51	-25.58	-26.24	-29.47	-25.8	-28.42	-26.8	-26.27	-26.63	-23.71	-26.57	-24.01	-26.79	-31.55	-31.96	-30.13	-23.57	-26.04	-32.64	-28.34	-24.03	-29.01	-34.09	-22.49	-32.05	-19.27	-30.81	-29.21	-28.3	-26.95	-24.14	-26.41	-19.83	-31.11	-31.19	-26.27	-20.13	-19.83	-26.74	-19.1	-31.96	-9.45	-25.63	-30.85	-24.75	-28	-16.86	-16.56	-11.84	-24.82	-28.59	-23.46	-25.6	-30.86	-19.24	-28.17	-22.37	-29.46	-32.42	-32.04	-12.56	-25.35	-32.53	-20.5	-23.02	-18.73	-25.54	-13.8	-23.33	-20.86	-11.64	-19.14	-23.43	-27.6	-30.83	-10.15	-13.31	-17.67	-26.77	-20.15	-18.26	-18.75	-31.19	-26.18	-27.96	-25.47	-21.57	-28.29	-26.41	-31.35	-31.11	-32.13	-22.32	-20.41	-25.11	-22.49	-30.63	-25.82	-31.59	-28.64	-19.76	-18.96	-16.92	-23.6	-18.49	-28.31	-25.17	-24.8	-30.79	-25.62	-25.07	-25.46
-29.52	-26.91	-15.69	-23.46	-28.31	-15.46	-31.27	-20.12	-21.51	-16.86	-23.3	-18.01	-28.44	-21.26	-28.49	-31.31	-29.18	-26.13	-32.18	-25.56	-30.55	-31.52	-15.27	-28.3	-23.8	-27.36	-26.57	-27.88	-26.37	-29.16	-25.37	-25.57	-26.69	-26.21	-25.62	-24.28	-26.27	-31.46	-31.58	-19.5	-23.86	-26.21	-31.87	-28.59	-30.71	-28.03	-31.13	-32.16	-32.25	-26.17	-30.23	-29.05	-22.34	-25.48	-31.34	-26.4	-19.83	-37.5	-30.62	-25.8	-19.81	-19.33	-23.81	-18.71	-32.19	-9.87	-24.58	-22	-18.25	-28.04	-15.84	-15.9	-12.61	-24.6	-32.03	-21.29	-25.45	-31.53	-25.08	-28.36	-31.4	-32.14	-32.06	-32.32	-13.22	-32.24	-22.01	-20.17	-31.46	-19.58	-31.81	-17.82	-31.71	-28.64	-10.76	-18.37	-31.75	-27.29	-30.08	-17.84	-18.44	-25.47	-31.9	-19.06	-17.65	-18.69	-31.25	-31.8	-28.42	-25.97	-29.09	-28.26	-24.75	-31.67	-31.52	-31.83	-28.95	-27.41	-25.78	-31.66	-30.89	-25.48	-30.98	-21.36	-27	-19.63	-16.49	-23.76	-16.75	-27.47	-24.03	-25	-35.43	-17.74	-25.02	-23.49
-28.28	-24.89	-15.15	-31.34	-20.6	-10.74	-22.36	-18.33	-19.6	-13.28	-15.88	-19.13	-21.01	-19.75	-22.6	-22.91	-20.16	-25.06	-31.26	-26.11	-29.18	-31	-10.69	-21.06	-22.78	-24.98	-24.55	-28.07	-25.75	-27.95	-24.53	-25.71	-25.82	-24.48	-25.87	-21.26	-25.19	-31.32	-29.95	-28.64	-30.09	-25.77	-31.21	-28.13	-21.11	-22.72	-23.42	-20.49	-31.36	-32.64	-28.81	-27.55	-28.06	-24.77	-27.85	-25.74	-19.37	-31.29	-30.02	-18.93	-19.16	-19	-25.16	-19.15	-29.92	-11	-23.96	-20.77	-16.95	-27.15	-14.71	-14.62	-11.09	-24.1	-31.38	-22.84	-23.91	-30.15	-18.5	-27.47	-30.15	-30.42	-30.02	-30.3	-22.57	-22.65	-30.27	-19.38	-30.68	-19.21	-22.68	-13.81	-22.19	-27.43	-10.38	-17.92	-30.07	-26.51	-29.37	-9.84	-10.98	-16.36	-21.98	-17.76	-16.78	-17.75	-31.38	-22.14	-27.29	-23.83	-27.01	-26.05	-23.93	-30.28	-29.33	-30.08	-22.96	-18.56	-17.9	-41.2	-22.6	-19.43	-30.49	-20.58	-26.28	-18.44	-15.85	-24.68	-16.98	-26.87	-32.03	-23.22	-29.31	-17.42	-24.26	-24.75
