"X629"	"X731"	"X1314"	"X1700"	"X2572"	"X2741"	"X2858"	"X2910"	"X2969"	"X3544"	"X3937"	"X4678"	"X5485"	"X7121"	"X8239"
"Orf32or29_30_31_52828"	-18.9383890304939	-18.8452371052986	-19.8804400666862	-17.6636701147796	-1.41596316191526	-18.325062582319	-19.0024995932337	-2.96033133438631	-19.2599868567704	-0.0414517306548348	-18.1449605019091	-18.0043043633882	-1.21713609171479	-18.0340118849539	0
"Orf52_77128"	-18.6058006877414	-19.6921961275298	-20.3564579871838	-19.7376275155483	-20.30323956672	-18.5403040392866	-18.9913320317935	-2.55625197230176	-19.1765883272657	-1.41838643259307	-19.331331454274	-0.423813314280832	0.964387280577085	-18.484600784736	0
"Orf66or67_67A_114453"	-17.7086817878749	-17.6660150166527	-2.24800353011447	-18.0058182468621	-18.2287059518703	-15.9560126987273	-17.9459119133574	-19.7786689859032	-18.0780203339082	-1.52667722151964	-18.3772843815044	-17.2127424722812	-1.81597144865936	-17.6958236331294	0
"Orf66or67_67A_112774"	-17.5297348262565	-17.2575026879837	-2.52226001099529	-12.4168512677521	-3.7109716797225	-3.64989187087383	-4.19533103747947	-2.53904872843655	-17.3845215333763	-0.690072565475244	-17.9598974617961	-17.7152869813493	-0.243599765547319	-16.4291296378568	0
"Orf43_63853"	-17.4633575892822	-19.5442072303511	-1.56443810185337	-18.7925596162129	-18.3029514132386	-18.5181335255901	-18.5666321673021	-1.8438513314849	-18.514131015279	-18.54465775412	-19.3100600501902	-17.6637518042362	-18.8471313127345	-18.2682467445975	0
"Orf30orOrf29_50891"	-17.4017878558586	-0.217856942323575	-18.2316320016382	-16.6203332753735	-18.4573067138385	-16.865103930576	-18.4922769046531	-1.05512599965506	-1.34386057990974	-17.0439398899457	-16.8596224881099	-16.3175742332363	-16.6323497839998	-0.0062810000562159	0
"Orf40_62028"	-17.3680074656974	-17.1970812466308	-2.15291371650468	-16.5729834257691	-17.6341411770309	-17.3098738856136	-1.97536922354663	-17.7702010304414	-17.112505664701	-16.821518955503	-16.9754437637988	-16.5272438865468	-17.2304544865497	-16.7226078434587	0
"Orf43_63567"	-17.3174848841497	-17.8929083605224	-2.44952005679291	-16.258830101203	-16.5186719566472	-16.2890741138598	-17.5448032310253	-17.4478353985377	-16.642575848557	-16.9863019116251	-16.8427358708382	-1.80710369734381	-16.8864118296101	-15.8168658539121	0
"Orf46_47_48_69318"	-17.2100990722518	-18.6825087889792	-18.3267735793986	-17.6174556544719	-2.47300953691403	-17.6336524978649	-18.395851432132	-3.03827892315867	-18.1854473314567	-0.338289005672944	-18.3684366606048	-17.9682350456224	-2.73115267599262	-17.1558869274788	0
"Orf23or24_39603"	-17.1179244556977	-16.8315347080087	-17.2042375156386	-15.9318825043191	-16.7636542596706	-16.7243334200609	-17.0725518266264	-18.0176438486124	-16.564484861822	-15.8012654167211	-16.1437376143215	-16.7944828316024	-16.7719161722643	-16.0260613781348	0
"vIRF4_86975"	-17.0436415261276	-17.9246722487519	-18.2670484083611	-17.0671725485928	-1.73319480832968	-16.816766399915	-18.3784695560263	-18.8733370649722	-17.6828694536375	-9.01040164498657	-17.2262517662506	-16.5397541409585	-17.2625476105014	-17.363559178516	0
"Orf54_77844"	-16.7238383534888	-18.3385273007633	-18.6049883571379	-16.9413205817841	-17.4664729187874	-17.3939836839887	-17.7954198669507	-1.97799773065891	-17.6300711471417	-16.2414764237385	-17.5312504119316	-17.6163495329526	-16.9808261795808	-16.3250015308327	0
"vIRF4_86524"	-16.6301769743612	-17.192637858511	-17.3122420410784	-17.7590713386963	-2.67830367663858	-3.45074843725605	-17.6492570613365	-18.6149451027342	-2.61255067626808	-2.29429813762553	-17.320405287582	-17.3776234847161	-16.2833205485799	-17.4264029054138	0
"Orf40_60631"	-16.5480460878382	-16.7312871534233	-17.623185888625	-16.3547072787762	-17.599512462835	-17.3049903920911	-17.0560573641867	-2.59877669265834	-17.0234211581544	-15.6404116157406	-16.4400262172945	-15.9899801683116	-16.6691170226025	-15.75683359107	0
"Orf33or29_30_31_32_53424"	-16.4286948362586	-17.7880519538894	-2.36856866992771	-1.2320183211248	-17.2814224273404	-2.33722349870044	-2.09978554282915	-17.7616231327768	-16.9790245876654	-3.02709723381284	-3.20685790927686	-16.5061024145993	-16.4076014239674	-16.6093978259338	0
"ORF18_32935"	-16.3441000826895	-17.8087573199131	0.459828988428139	-17.2948425690833	-17.0598484623813	-17.9219904193873	-18.2820763239848	-17.9435466973356	-17.9574337626701	-1.81611172612968	-16.810019082571	-17.3435019026351	-2.86818898426404	-17.1958163256818	0
"K14orORF74_129773"	-16.2382608419454	-17.6215305298431	1.38891509460807	-16.2552262751504	-17.6527711567081	-17.249893204982	-0.458414957258327	-18.1192178799193	-0.044604271853494	1.19005717285141	-17.8697255727877	-16.5977883925044	-16.0820812980265	-16.9147254956225	0
"Orf49or50_72352"	-16.045345802678	0.76298797372149	0.0787608674440285	-16.4575734725679	-16.5599480308617	-16.409040178996	-17.1904310424237	-1.80643227096877	-16.8853734212307	1.0542332968026	-16.3266588075203	-16.1067705339671	-15.078478608857	-15.2830956763718	0
"Orf34orOrf35_55680"	-16.0309273018427	-17.6566951375709	-0.0212474461309249	-17.2233055402256	-17.5568485674816	-0.968643986592785	-0.615084132724469	-10.3029854603591	-17.4658292090168	-0.323115894739505	-16.2654563646549	-15.6522370276489	-16.4651118967039	-16.3512658019914	0
"K5_26200"	-15.8716129956983	-0.10753439730253	3.47899833635051	-6.16719898599792	-2.24880997961952	-2.65241150754948	-0.639967396580975	-0.278592840213026	0.119407201651807	1.91637785234577	-1.0420139537611	0.259415898395982	-0.753111556461278	-15.8539828406422	0
"Orf66or67_67A_113453"	-15.474082242246	-15.5828289494935	-0.903217960738623	-16.2422517471567	-16.6806129491541	-16.3319129319219	-1.23907914180158	-16.6895742760407	-15.9880397033333	-1.42479797878134	-16.4746428969909	-15.5322363728884	-1.99590927457179	-1.54451033330617	0
"Orf34orOrf35_55680_2"	-15.2382380412005	-16.0281218547576	-16.2372065040719	-15.6973044651506	-16.3130579809605	-1.30197395682395	-16.3245142317522	-16.4006159883187	-16.4105461552144	-15.3640730944573	-16.3513679153938	-14.9522007401915	-16.1409867365018	-15.9559170456295	0
"Orf62_101132"	-15.2226104929835	-15.5018343171541	-15.9699033244588	-15.0225289782092	-0.623564734687751	-15.3703456157962	-15.8999093897799	-15.704605611128	-14.7973389279794	-14.0433056021795	-14.5281731154215	-15.3312248103875	-14.3837777922204	-15.6533001050448	0
"Orf40_62161"	-15.1938785920382	-14.0735023956111	-15.5457427933931	-14.5890430781857	-15.4270162115965	-15.2228759283836	-14.6922219700358	-15.7406608375061	-0.45290786704776	-13.7874270418921	-14.6070776271007	-14.8783346164679	-13.5137082302825	-15.0240351509867	0
"Orf47or48_69773"	-15.1255849004852	-16.3501062817873	-16.1424755332559	-15.0867653150005	-16.6680728213613	-0.804951439847041	-16.5819367723926	-1.18123624999196	-0.855551754025708	-0.0596596290545328	-15.4057065531836	-16.2474345134783	-16.3420595464005	-15.850290647324	0
"Orf36orOrf34or35_56709"	-15.0956943842076	-18.1336064257788	-4.97260437717823	-4.38963232205136	-15.7629998521402	-15.3715900925205	-5.54223737540421	-10.7617790938522	-15.9212952216943	-15.4215322622779	-3.28188087498096	-14.879054564922	-15.3334696082563	-14.9064367469392	0
"Orf49or50_71851"	-15.0501122899182	-16.24266528207	0.637886888241848	-15.0118147541498	-12.022740502298	-0.408922800300697	-0.728059887165578	0.734249210670971	-0.12006999486821	0.255546839155823	-15.0691478149973	-15.9883445112396	-0.243599765547319	-15.0092206589781	0
"Orf23or24_39786"	-14.9654836353976	-15.6244168082527	-17.1258367123457	-15.1403864084119	-16.1501784537208	-1.11276487208264	-15.5454190486789	-16.3638196100332	-16.8997981034921	-15.0658557992285	-15.6146210362348	-15.8610864034901	-15.1549069287353	-15.0172497951509	0
"Orf59_60_61_62_96407"	-14.8577141907894	-15.6843782465477	-0.804989528724363	0.0763816974021267	-1.30217785471226	-1.52360737776876	-2.97585265719388	-1.98657949466439	-1.37252053137824	-0.501805142898359	-15.1333917109968	-14.7631065361025	-2.70671740476192	-15.1340109238985	0
"K14orORF74_129945"	-14.8034643537401	-15.065266443713	-0.147477046588119	-14.6374294231763	-14.6994435070812	-14.9378531436438	-15.5812330076178	-15.2399381308829	-1.74190956628624	-0.435315116614916	-0.305291675345259	-14.9666546832954	-14.7387196529121	-14.6730869478401	0
