"Date"	"Array"	"Primer"	"Position"	"Gene"	"Good"	"Plate"	"Primername"	"X180"	"X220"	"X225"	"X316"	"X541"	"X1167"	"X1338"	"X1347"	"X1367"	"X1461"	"X1835"	"X3392"	"X3450"	"X3588"	"X4337"	"X4647"	"X4750"	"X4983"	"X5030"	"X5098"	"X5130"	"X5267"	"X5386"	"X5557"	"X5720"	"X6039"	"X6268"	"X6725"	"X6814"	"X7109"	"X8037"	"X8064"	"X8133"	"X8348"	"X8670"	"X9161"	"X9401"	"X9748"	"X9926"	"X9953"	"filename"
19262	"2011KSHV2PParray-PP2only"	"actin"	4	"actin"	"bad"	"PP2"	"actin_4PP2"	22.52	24.84	30.4	28.11	24.97	24.64	23.61	22.76	24.49	22.89	26.61	22.8	25.13	29.35	23.1	23.82	24.58	28.36	23.1	19.79	20.31	24.53	25.54	26.26	26.95	26.16	26.2	25.14	22.41	23.42	22.96	20.11	27.41	19.54	25.03	22.04	24.4	28	24.59	23.76	"010513_testset_XYplotDD.xlsx"
30911	"2011KSHV2PParray-badPP2"	"actin"	8	"actin"	"good"	"PP2"	"actin_8PP2"	30.64	35.85	39.97	32.67	32.1	32	30.34	28.23	29.56	29.55	34.13	29.84	37.01	36.53	27.89	31.92	31.63	36.13	30.85	26.48	29.69	31.31	32.96	35.12	30.58	31.74	30.8	31.31	29.71	32.44	32.9	32.71	35.99	60	30.96	31.56	31.47	34.61	32	31.31	"010513_testset_XYplotDD.xlsx"
19262	"2011KSHV2PParray-PP2only"	"gapdh"	1	"gapdh"	"good"	"PP2"	"gapdh_1PP2"	18.6	21.59	25.74	21.43	21.9	22.35	21.39	21.58	20.91	20.96	20.75	19.77	22.21	24.51	19.36	19.71	20.82	25.23	21.42	17.96	17.34	21.27	22.47	22.83	24.2	22.75	23.66	21.95	20.21	23	41.44	22	25.74	19.87	22.73	18.67	19.26	25.86	23.21	22.63	"010513_testset_XYplotDD.xlsx"
30911	"2011KSHV2PParray-badPP2"	"gapdh"	2	"gapdh"	"bad"	"PP2"	"gapdh_2PP2"	18.76	20.53	26.58	21.33	20.58	19.39	18.74	19.58	19.59	19.28	20.73	19.26	23.14	23.46	17.98	19.48	20.96	23.22	19.45	16.73	18.34	20.09	22.46	23.46	19.89	19.68	19.64	18.68	18.34	19.95	20.33	18.6	23.94	60	19.84	18.67	19.26	22.74	20.51	19.78	"010513_testset_XYplotDD.xlsx"
19262	"2011KSHV2PParray-PP2only"	"hprt"	5	"hprt"	"bad"	"PP2"	"hprt_5PP2"	24.46	28.91	29.58	27.58	27.94	29.57	28.23	27.8	27.94	27.34	26.73	26.45	28.48	32	26.74	26.44	27.47	27.57	26.34	24.24	23.78	26.48	26.77	28.41	29.91	29.97	29.95	29.23	27.23	28.34	28.3	25.64	31.58	26.48	28.96	25.7	27.24	31.13	29.99	29.76	"010513_testset_XYplotDD.xlsx"
30911	"2011KSHV2PParray-badPP2"	"hprt"	6	"hprt"	"good"	"PP2"	"hprt_6PP2"	29.6	33.53	35.47	32.76	31.87	31.23	30.42	30.24	29.89	30.79	32.49	28.56	33.19	34.56	27.66	28.9	30.82	35.33	30.34	27.74	27.33	32.09	30.53	34.33	31.28	31.26	30.93	30.63	29.33	30.49	30.4	28.74	35.33	60	30.96	28.46	29.35	33.56	31.94	31.85	"010513_testset_XYplotDD.xlsx"
30911	"2011KSHV2PParray-badPP2"	"ks1_133"	133	"K1"	"good"	"PP1"	"K1_133PP1"	60	60	60	60	53.52	60	60	60	60	60	53.25	60	60	60	51.59	60	54.68	60	60	60	60	60	60	60	60	53.89	52.76	60	50.89	60	60	60	60	60	60	60	60	60	60	60	"010513_testset_XYplotDD.xlsx"
30911	"2011KSHV2PParray-badPP2"	"ks1_278"	278	"K1"	"bad"	"PP1"	"K1_278PP1"	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	"010513_testset_XYplotDD.xlsx"
30911	"2011KSHV2PParray-badPP2"	"ks1_348"	348	"K1"	"good"	"PP1"	"K1_348PP1"	60	60	60	60	60	60	60	60	60	33.4	60	60	60	60	42.82	60	55.59	60	60	60	60	60	60	60	60	53.12	51.53	60	47.34	60	60	60	60	60	60	60	60	60	60	60	"010513_testset_XYplotDD.xlsx"
30911	"2011KSHV2PParray-badPP2"	"ks1_622"	622	"K1"	"good"	"PP1"	"K1_622PP1"	60	60	60	60	60	60	60	60	60	60	43.58	60	60	60	36.97	60	60	60	60	60	60	60	60	60	60	38.29	41.69	60	37.59	60	60	60	60	60	60	60	60	60	60	60	"010513_testset_XYplotDD.xlsx"
