pi0: 1 

FDR level: TRUE 

p-value q-value significant 
0.2424899 0.3161967 1
0.3561037 0.397391 1
0.06326715 0.1082571 1
0.7294293 0.739027 1
0.2444615 0.3161967 1
0.380646 0.4187106 1
0.33779 0.3882064 1
0.01377893 0.05314543 1
0.309765 0.3625192 1
0.2309417 0.3161967 1
0.1042465 0.1573917 1
0.1150437 0.1703531 1
0.02182097 0.06281731 1
0.03877117 0.08399358 1
0.007357122 0.05149986 1
0.00450857 0.03841804 1
0.000153149 0.006946381 1
0.2001352 0.2801892 1
0.00270577 0.03841804 1
0.0004088938 0.007871206 1
0.004989356 0.03841804 1
0.3084464 0.3625192 1
0.6685021 0.6863288 1
0.004944989 0.03841804 1
0.01482202 0.05314543 1
0.03582012 0.08112204 1
0.2694339 0.3360421 1
0.06060103 0.1060518 1
0.5495455 0.5796575 1
0.4064279 0.440774 1
0.003022862 0.03841804 1
0.02339742 0.06434292 1
0.6329325 0.6585919 1
0.3107308 0.3625192 1
0.246387 0.3161967 1
0.0131022 0.05314543 1
0.3545903 0.397391 1
0.04936449 0.09270892 1
0.02201482 0.06281731 1
0.009578481 0.05314543 1
0.01577453 0.05314543 1
0.2411885 0.3161967 1
0.02148012 0.06281731 1
0.01318763 0.05314543 1
0.09870612 0.1520074 1
0.1341047 0.1912234 1
0.04910271 0.09270892 1
0.0688611 0.1107122 1
0.01587461 0.05314543 1
0.1260222 0.1830888 1
0.0002706382 0.006946381 1
0.01568041 0.05314543 1
0.04063855 0.08457211 1
0.00457423 0.03841804 1
0.05761747 0.1031755 1
0.0832968 0.130895 1
0.2705793 0.3360421 1
0.2923354 0.3572988 1
0.4916865 0.5258314 1
0.0103468 0.05314543 1
0.03140109 0.07326921 1
0.03926973 0.08399358 1
0.02942377 0.07308484 1
0.01081952 0.05314543 1
0.06763708 0.1107122 1
0.0115655 0.05314543 1
0.02618782 0.06953318 1
0.01008535 0.05314543 1
0.02202685 0.06281731 1
0.051942 0.09522699 1
0.03089179 0.07326921 1
0.7705703 0.7705703 1
0.0277778 0.07129636 1
0.04884059 0.09270892 1
0.0456441 0.09248935 1
0.06901542 0.1107122 1
0.0001981593 0.006946381 1
