"WT0h"	"WT0hMBV"	"PKKO0h"	"PKKO0hMBV"	"REV0h"	"REV0hMBV"	"WT24h"	"WT24hMBV20uM"	"WT24hACV50uM"	"PKKO24h"	"PKKO24hMBV20uM"	"PKKO24hACV50uM"	"REV24h"	"REV24hACV50uM"	"WT48h"	"WT48hMBV20uM"	"WT48hACV50uM"	"PKKO48h"	"PKKO48hMBV20uM"	"PKKO48hACV50uM"	"REV48h"	"REV48hMBV20uM"	"REV48hACV50uM"
"ACTIN"	0.44135305	0.756315150000002	0.57681345	0.613625709999997	0.391721780000001	0.61352978	0.462211279999998	0.473528339999998	0.375622399999997	0.574683159999999	0.260953410000003	0.218688239999999	0.219198710000001	0.257319669999998	0.62785367	0.563731929999999	0.692863979999998	0.81037147	0.75179421	0.636460640000003	0.514926079999999	0.71615847	0.379115910000003
"B-ACT"	-2.09864695	-2.49368485	-2.14318655	-2.17637429	-2.26827822	-2.45647022	-1.96778872	-1.88647166	-1.8943776	-2.20531684	-1.99904659	-2.04131176	-2.08080129	-1.90268033	-1.92214633	-2.34626807	-2.07713602	-2.26962853	-2.21820579	-2.21353936	-2.15507392	-2.29384153	-2.28088409
"BALF1"	-9.17864695	-8.70368485	-9.08318655	-9.29637429	-9.51827822	-9.37647022	-5.93778872	-5.46647166	-5.6743776	-5.96531684	-6.08904659	-5.82131176	-5.58080129	-5.58268033	-1.75214633	-3.15626807	-3.47713602	-3.59962853	-3.42820579	-3.92353936	-1.35507392	-2.77384153	-3.68088409
"BALF2"	-10.33864695	-10.16368485	-10.72318655	-9.97637429	-11.33827822	-12.91647022	-4.41778872	-3.88647166	-3.5343776	-4.03531684	-3.98904659	-3.69131176	-4.19080129	-3.75268033	-1.96214633	-2.46626807	-1.98713602	-2.75962853	-2.14820579	-2.54353936	-1.84507392	-2.45384153	-2.57088409
"BALF3"	-6.60864695	-6.57368485	-6.97318655	-6.99637429	-7.37827822	-8.62647022	-4.96778872	-5.15647166	-4.7243776	-5.02531684	-4.77904659	-4.47131176	-4.98080129	-4.84268033	-1.43214633	-2.74626807	-2.83713602	-3.29962853	-2.86820579	-3.09353936	-1.10507392	-2.55384153	-3.19088409
"BALF4"	-5.58864695	-5.58368485	-5.98318655	-5.76637429	-5.97827822	-6.98647022	-3.27778872	-3.78647166	-3.1943776	-3.38531684	-3.02904659	-2.84131176	-3.10080129	-3.55268033	0.547853669999999	-1.05626807	-1.09713602	-1.17962853	-0.85820579	-1.19353936	0.914926080000001	-0.583841530000001	-1.44088409
"BALF5"	-8.48864695	-8.26368485	-8.44318655	-7.70637429	-8.56827822	-9.52647022	-4.53778872	-4.90647166	-4.5043776	-4.46531684	-4.35904659	-4.35131176	-4.54080129	-3.55268033	-0.972146330000001	-1.94626807	-2.41713602	-2.59962853	-2.08820579	-2.40353936	-0.36507392	-1.93384153	-2.47088409
"BaRF1"	-8.63864695	-8.98368485	-7.59318655	-7.76637429	-9.34827822	-10.24647022	-4.16778872	-3.51647166	-3.3643776	-3.05531684	-2.88904659	-2.62131176	-3.57080129	-3.21268033	-1.77214633	-2.03626807	-1.21713602	-1.84962853	-1.15820579	-1.27353936	-2.01507392	-1.73384153	-1.64088409
"BBLF1"	-8.87864695	-8.58368485	-9.63318655	-9.40637429	-9.25827822	-9.48647022	-4.18778872	-3.07647166	-3.3643776	-4.03531684	-3.88904659	-3.76131176	-3.55080129	-3.12268033	-1.40214633	-1.65626807	-1.58713602	-2.48962853	-2.03820579	-2.24353936	-3.26507392	-1.47384153	-2.05088409
"BBLF2"	-12.39864695	-12.39368485	-12.89318655	-12.89637429	-13.83827822	-14.18647022	-11.59778872	-10.65647166	-10.6143776	-11.27531684	-11.42904659	-11.00131176	-11.55080129	-11.56268033	-8.97214633	-9.62626807	-8.79713602	-10.18962853	-10.15820579	-9.94353936	-9.88507392	-9.90384153	-10.62088409
"BBLF3"	-8.92864695	-8.44368485	-9.50318655	-9.54637429	-9.44827822	-8.57647022	-4.24778872	-3.50647166	-3.1743776	-4.07531684	-3.76904659	-3.59131176	-3.68080129	-3.51268033	-1.88214633	-2.10626807	-1.64713602	-2.51962853	-2.12820579	-2.00353936	-1.90507392	-1.85384153	-1.59088409
"BBLF4"	-10.37864695	-10.68368485	-11.68318655	-10.88637429	-11.12827822	-10.97647022	-6.82778872	-6.64647166	-6.1143776	-6.48531684	-6.78904659	-6.39131176	-6.29080129	-5.87268033	-4.25214633	-4.43626807	-3.95713602	-5.21962853	-4.66820579	-4.93353936	-4.26507392	-4.52384153	-4.14088409
"BBRF1"	-10.03864695	-10.15368485	-11.64318655	-11.35637429	-11.37827822	-11.35647022	-7.47778872	-6.90647166	-6.7543776	-7.41531684	-7.72904659	-6.89131176	-7.24080129	-6.87268033	-3.93214633	-4.82626807	-4.93713602	-5.57962853	-5.16820579	-5.77353936	-4.03507392	-4.41384153	-4.97088409
"BBRF2"	-9.40864695	-9.34368485	-11.17318655	-10.68637429	-10.30827822	-9.90647022	-6.98778872	-6.60647166	-6.3943776	-6.94531684	-6.82904659	-6.72131176	-6.25080129	-6.10268033	-3.41214633	-4.30626807	-5.10713602	-5.60962853	-4.71820579	-5.76353936	-3.24507392	-3.75384153	-5.16088409
"BBRF3"	-8.02864695	-7.93368485	-9.51318655	-9.50637429	-8.82827822	-9.37647022	-5.54778872	-5.83647166	-5.8143776	-6.29531684	-6.20904659	-6.27131176	-4.91080129	-5.76268033	-1.22214633	-2.69626807	-3.78713602	-3.78962853	-3.78820579	-4.66353936	-0.835073919999999	-2.02384153	-3.74088409
"BCLF1"	-8.20864695	-8.86368485	-10.20318655	-10.80637429	-8.91827822	-8.32647022	-5.61778872	-6.16647166	-6.0843776	-7.16531684	-6.27904659	-7.64131176	-5.12080129	-6.05268033	-1.01214633	-1.92626807	-3.78713602	-3.85962853	-3.27820579	-4.93353936	-0.435073920000001	-1.06384153	-3.09088409
"BCRF1_rep1"	-12.90864695	-12.90368485	-10.56318655	-10.98637429	-14.34827822	-13.48647022	-8.88778872	-8.73647166	-11.0343776	-10.52531684	-10.37904659	-10.56131176	-9.03080129	-11.88268033	-4.42214633	-4.78626807	-6.73713602	-7.72962853	-7.09820579	-8.77353936	-5.26507392	-5.46384153	-7.96088409
"BCRF1_rep2"	-10.35864695	-10.07368485	-11.18318655	-11.23637429	-11.17827822	-10.37647022	-9.10778872	-9.37647166	-9.2943776	-9.57531684	-9.12904659	-9.46131176	-8.89080129	-9.05268033	-6.36214633	-6.60626807	-7.35713602	-7.13962853	-6.85820579	-7.21353936	-5.87507392	-7.20384153	-6.87088409
"BDLF1"	-8.16864695	-8.53368485	-10.06318655	-10.40637429	-8.39827822	-9.08647022	-6.41778872	-7.27647166	-7.5143776	-7.32531684	-7.88904659	-8.01131176	-5.77080129	-7.17268033	-0.572146329999999	-1.81626807	-4.98713602	-3.31962853	-3.06820579	-4.96353936	-0.0650739199999997	-1.26384153	-4.12088409
"BDLF2"	-8.27864695	-8.39368485	-9.73318655	-10.22637429	-8.16827822	-8.26647022	-6.12778872	-6.76647166	-7.5943776	-7.49531684	-7.86904659	-8.28131176	-5.50080129	-6.91268033	-0.37214633	-1.69626807	-4.37713602	-3.11962853	-2.97820579	-5.01353936	-0.215073919999998	-0.753841529999999	-4.02088409
"BDLF3"	-11.65864695	-11.12368485	-12.68318655	-12.35637429	-11.37827822	-11.51647022	-9.05778872	-10.23647166	-11.8743776	-10.44531684	-10.42904659	-11.77131176	-7.94080129	-8.97268033	-2.27214633	-4.33626807	-9.75713602	-5.82962853	-5.74820579	-8.67353936	-2.32507392	-3.69384153	-8.66088409
"BDLF4"	-10.64864695	-10.13368485	-10.14318655	-10.84637429	-11.26827822	-14.62647022	-5.29778872	-4.50647166	-4.3543776	-5.15531684	-4.89904659	-4.45131176	-4.81080129	-4.42268033	-2.80214633	-3.34626807	-2.61713602	-3.49962853	-3.09820579	-3.17353936	-2.61507392	-3.24384153	-3.20088409
"BDRF1_129215"	-12.21864695	-11.53368485	-11.99318655	-12.36637429	-12.40827822	-11.42647022	-8.92778872	-8.59647166	-8.6643776	-8.43531684	-8.60904659	-8.57131176	-8.13080129	-7.82268033	-3.75214633	-5.26626807	-6.07713602	-4.85962853	-4.87820579	-5.99353936	-3.42507392	-5.32384153	-5.64088409
"BDRF1_148707"	-6.91864695	-6.99368485	-8.51318655	-9.11637429	-7.41827822	-7.04647022	-4.66778872	-5.22647166	-5.1243776	-5.45531684	-5.76904659	-5.58131176	-3.84080129	-5.15268033	0.197853670000001	-1.43626807	-2.67713602	-2.35962853	-2.61820579	-3.50353936	0.77492608	-0.563841530000001	-2.49088409
"BFLF1"	-9.80864695	-9.61368485	-9.98318655	-9.75637429	-10.81827822	-9.89647022	-5.38778872	-5.11647166	-5.1743776	-5.44531684	-5.43904659	-5.39131176	-4.89080129	-5.57268033	-2.27214633	-2.72626807	-1.70713602	-3.77962853	-3.13820579	-3.61353936	-2.22507392	-2.50384153	-1.90088409
"BFLF2"	-7.90864695	-8.10368485	-8.83318655	-8.85637429	-8.48827822	-8.54647022	-3.96778872	-3.66647166	-3.2943776	-3.67531684	-3.93904659	-3.55131176	-3.24080129	-3.16268033	-0.272146329999998	-1.03626807	0.102863979999999	-1.75962853	-1.79820579	-1.64353936	-0.395073920000002	-1.00384153	0.17911591
"BFRF2"	-8.26864695	-8.48368485	-8.87318655	-8.78637429	-8.94827822	-9.32647022	-3.39778872	-2.86647166	-2.7043776	-3.06531684	-2.90904659	-2.58131176	-3.07080129	-2.96268033	-0.502146329999999	-1.02626807	-0.0571360200000015	-1.69962853	-1.05820579	-1.08353936	-0.395073920000002	-0.973841530000001	-0.130884089999999
"BFRF3"	-9.48864695	-9.67368485	-10.96318655	-10.83637429	-10.44827822	-11.48647022	-5.14778872	-4.94647166	-4.8543776	-5.11531684	-5.14904659	-4.84131176	-4.85080129	-4.84268033	-1.22214633	-2.11626807	-1.61713602	-3.13962853	-2.82820579	-2.83353936	-0.97507392	-2.28384153	-1.27088409
