"WT24h"	"WT24hMBV20uM"	"PKKO24h"	"PKKO24hMBV20uM"	"REV24h"	"WT48h"	"WT48hMBV20uM"	"PKKO48h"	"PKKO48hMBV20uM"	"REV48h"	"REV48hMBV20uM"
"ACTIN"	0.462211279999998	0.473528339999998	0.574683159999999	0.260953410000003	0.219198710000001	0.62785367	0.563731929999999	0.81037147	0.75179421	0.514926079999999	0.71615847
"B-ACT"	-1.96778872	-1.88647166	-2.20531684	-1.99904659	-2.08080129	-1.92214633	-2.34626807	-2.26962853	-2.21820579	-2.15507392	-2.29384153
"BALF1"	-5.93778872	-5.46647166	-5.96531684	-6.08904659	-5.58080129	-1.75214633	-3.15626807	-3.59962853	-3.42820579	-1.35507392	-2.77384153
"BALF2"	-4.41778872	-3.88647166	-4.03531684	-3.98904659	-4.19080129	-1.96214633	-2.46626807	-2.75962853	-2.14820579	-1.84507392	-2.45384153
"BALF3"	-4.96778872	-5.15647166	-5.02531684	-4.77904659	-4.98080129	-1.43214633	-2.74626807	-3.29962853	-2.86820579	-1.10507392	-2.55384153
"BALF4"	-3.27778872	-3.78647166	-3.38531684	-3.02904659	-3.10080129	0.547853669999999	-1.05626807	-1.17962853	-0.85820579	0.914926080000001	-0.583841530000001
"BALF5"	-4.53778872	-4.90647166	-4.46531684	-4.35904659	-4.54080129	-0.972146330000001	-1.94626807	-2.59962853	-2.08820579	-0.36507392	-1.93384153
"BaRF1"	-4.16778872	-3.51647166	-3.05531684	-2.88904659	-3.57080129	-1.77214633	-2.03626807	-1.84962853	-1.15820579	-2.01507392	-1.73384153
"BBLF1"	-4.18778872	-3.07647166	-4.03531684	-3.88904659	-3.55080129	-1.40214633	-1.65626807	-2.48962853	-2.03820579	-3.26507392	-1.47384153
"BBLF2"	-11.59778872	-10.65647166	-11.27531684	-11.42904659	-11.55080129	-8.97214633	-9.62626807	-10.18962853	-10.15820579	-9.88507392	-9.90384153
"BBLF3"	-4.24778872	-3.50647166	-4.07531684	-3.76904659	-3.68080129	-1.88214633	-2.10626807	-2.51962853	-2.12820579	-1.90507392	-1.85384153
"BBLF4"	-6.82778872	-6.64647166	-6.48531684	-6.78904659	-6.29080129	-4.25214633	-4.43626807	-5.21962853	-4.66820579	-4.26507392	-4.52384153
"BBRF1"	-7.47778872	-6.90647166	-7.41531684	-7.72904659	-7.24080129	-3.93214633	-4.82626807	-5.57962853	-5.16820579	-4.03507392	-4.41384153
"BBRF2"	-6.98778872	-6.60647166	-6.94531684	-6.82904659	-6.25080129	-3.41214633	-4.30626807	-5.60962853	-4.71820579	-3.24507392	-3.75384153
"BBRF3"	-5.54778872	-5.83647166	-6.29531684	-6.20904659	-4.91080129	-1.22214633	-2.69626807	-3.78962853	-3.78820579	-0.835073919999999	-2.02384153
"BCLF1"	-5.61778872	-6.16647166	-7.16531684	-6.27904659	-5.12080129	-1.01214633	-1.92626807	-3.85962853	-3.27820579	-0.435073920000001	-1.06384153
"BCRF1_rep1"	-8.88778872	-8.73647166	-10.52531684	-10.37904659	-9.03080129	-4.42214633	-4.78626807	-7.72962853	-7.09820579	-5.26507392	-5.46384153
"BCRF1_rep2"	-9.10778872	-9.37647166	-9.57531684	-9.12904659	-8.89080129	-6.36214633	-6.60626807	-7.13962853	-6.85820579	-5.87507392	-7.20384153
"BDLF1"	-6.41778872	-7.27647166	-7.32531684	-7.88904659	-5.77080129	-0.572146329999999	-1.81626807	-3.31962853	-3.06820579	-0.0650739199999997	-1.26384153
"BDLF2"	-6.12778872	-6.76647166	-7.49531684	-7.86904659	-5.50080129	-0.37214633	-1.69626807	-3.11962853	-2.97820579	-0.215073919999998	-0.753841529999999
"BDLF3"	-9.05778872	-10.23647166	-10.44531684	-10.42904659	-7.94080129	-2.27214633	-4.33626807	-5.82962853	-5.74820579	-2.32507392	-3.69384153
"BDLF4"	-5.29778872	-4.50647166	-5.15531684	-4.89904659	-4.81080129	-2.80214633	-3.34626807	-3.49962853	-3.09820579	-2.61507392	-3.24384153
"BDRF1_129215"	-8.92778872	-8.59647166	-8.43531684	-8.60904659	-8.13080129	-3.75214633	-5.26626807	-4.85962853	-4.87820579	-3.42507392	-5.32384153
"BDRF1_148707"	-4.66778872	-5.22647166	-5.45531684	-5.76904659	-3.84080129	0.197853670000001	-1.43626807	-2.35962853	-2.61820579	0.77492608	-0.563841530000001
"BFLF1"	-5.38778872	-5.11647166	-5.44531684	-5.43904659	-4.89080129	-2.27214633	-2.72626807	-3.77962853	-3.13820579	-2.22507392	-2.50384153
"BFLF2"	-3.96778872	-3.66647166	-3.67531684	-3.93904659	-3.24080129	-0.272146329999998	-1.03626807	-1.75962853	-1.79820579	-0.395073920000002	-1.00384153
"BFRF2"	-3.39778872	-2.86647166	-3.06531684	-2.90904659	-3.07080129	-0.502146329999999	-1.02626807	-1.69962853	-1.05820579	-0.395073920000002	-0.973841530000001
"BFRF3"	-5.14778872	-4.94647166	-5.11531684	-5.14904659	-4.85080129	-1.22214633	-2.11626807	-3.13962853	-2.82820579	-0.97507392	-2.28384153
"BGLF1"	-5.59778872	-5.27647166	-5.26531684	-5.36904659	-5.09080129	-2.98214633	-3.82626807	-3.66962853	-3.49820579	-2.81507392	-3.58384153
"BGLF3"	-7.93778872	-7.95647166	-7.66531684	-8.57904659	-7.60080129	-4.20214633	-5.07626807	-5.04962853	-4.63820579	-3.75507392	-5.28384153
"BGLF4"	-5.77778872	-5.16647166	-6.08531684	-6.06904659	-5.22080129	-2.74214633	-2.91626807	-4.24962853	-3.27820579	-2.55507392	-2.69384153
"BGLF5"	-6.56778872	-6.04647166	-6.52531684	-6.55904659	-6.13080129	-4.01214633	-4.13626807	-4.78962853	-4.43820579	-4.34507392	-4.35384153
"BGRF1"	-7.27778872	-6.97647166	-7.20531684	-7.08904659	-7.15080129	-3.69214633	-4.85626807	-4.51962853	-4.36820579	-3.23507392	-4.68384153
"BHRF1"	-2.45778872	-2.51647166	-2.63531684	-2.02904659	-2.22080129	0.277853669999999	0.593731929999997	-0.539628529999998	0.41179421	0.574926080000001	0.176158470000001
"BILF1"	-4.60778872	-5.14647166	-4.40531684	-4.41904659	-4.32080129	-0.53214633	-1.92626807	-2.60962853	-2.30820579	-0.0250739200000005	-1.60384153
"BILF2"	-4.12778872	-3.92647166	-4.17531684	-4.02904659	-3.68080129	-1.53214633	-1.38626807	-2.72962853	-2.33820579	-1.16507392	-1.42384153
"BKRF1"	-6.45778872	-6.40647166	-6.60531684	-6.11904659	-7.05080129	-4.50214633	-4.31626807	-5.16962853	-4.45820579	-4.16507392	-3.94384153
"BKRF3"	-4.13778872	-3.26647166	-4.10531684	-3.60904659	-3.63080129	-0.542146330000001	-1.25626807	-2.37962853	-1.65820579	-0.345073920000001	-0.80384153
"BKRF4"	-2.52778872	-2.13647166	-2.27531684	-3.38904659	-2.12080129	0.657853670000002	-0.396268070000001	-0.919628529999997	-0.648205789999999	0.314926079999999	0.116158469999998
"BLLF1b"	-4.28778872	-4.93647166	-4.97531684	-5.05904659	-3.77080129	0.73785367	-0.806268070000002	-1.52962853	-1.95820579	1.08492608	-0.323841529999999
"BLLF2"	-3.66778872	-4.06647166	-4.22531684	-4.24904659	-3.23080129	1.45785367	-0.126268070000002	-1.09962853	-1.01820579	1.73492608	0.44615847
"BLLF3"	-5.69778872	-5.32647166	-5.34531684	-5.15904659	-5.29080129	-3.33214633	-3.20626807	-3.86962853	-3.54820579	-2.91507392	-3.07384153
"BLRF1"	-5.21778872	-5.08647166	-5.66531684	-5.22904659	-4.85080129	-0.662146329999999	-1.69626807	-2.77962853	-2.61820579	-0.275073920000001	-1.28384153
"BLRF2"	-5.13778872	-5.82647166	-5.59531684	-6.05904659	-4.89080129	-0.382146330000001	-2.13626807	-2.87962853	-3.05820579	-0.355073919999999	-1.43384153
"BLRF3"	-5.07778872	-5.72647166	-5.13531684	-5.62904659	-4.80080129	0.537853670000001	-1.58626807	-1.80962853	-1.83820579	0.88492608	-0.87384153
"BMLF1"	-2.25778872	-1.64647166	-1.36531684	-1.06904659	-1.64080129	-0.802146329999999	-0.106268070000002	-0.719628529999998	-0.15820579	-0.505073920000001	-0.493841530000001
