condition	PK	MBV	time	ACTIN	B-ACT	BALF1	BALF2	BALF3	BALF4	BALF5	BaRF1	BBLF1	BBLF2	BBLF3	BBLF4	BBRF1	BBRF2	BBRF3	BCLF1	BCRF1_rep1	BCRF1_rep2	BDLF1/capsid	BDLF2/orf27	BDLF3	BDLF4	BDRF1_129215	BDRF1_148707	BFLF1	BFLF2	BFRF2	BFRF3	BGLF1	BGLF3	BGLF4	BGLF5	BGRF1	BHRF1	BILF1	BILF2	BKRF1	BKRF3	BKRF4	BLLF1b	BLLF2	BLLF3	BLRF1	BLRF2	BLRF3	BMLF1/orf57	BMRF1	BMRF2	BNLF2a	BNLF2b	BNRF1	BOLF1	BORF1	BORF2	BPLF1	BRLF1	BRRF1	BRRF2	BSLF1	BSLF2	BSRF1	BTRF1	BVRF1	BVRF2	BWRF1_43261	BXLF1	BXLF2	BXRF1	BYRF1	EBNA3C	exonEBNA	GAPDH	HPRT	LMP-1	LMP-2A_166576	LMP-2A_503	LMP-2A_59
WT24h	1.00	0.00	24.00	0.46	-1.97	-5.94	-4.42	-4.97	-3.28	-4.54	-4.17	-4.19	-11.60	-4.25	-6.83	-7.48	-6.99	-5.55	-5.62	-8.89	-9.11	-6.42	-6.13	-9.06	-5.30	-8.93	-4.67	-5.39	-3.97	-3.40	-5.15	-5.60	-7.94	-5.78	-6.57	-7.28	-2.46	-4.61	-4.13	-6.46	-4.14	-2.53	-4.29	-3.67	-5.70	-5.22	-5.14	-5.08	-2.26	-1.77	-1.96	-4.66	-12.50	-5.47	-2.03	-3.34	-3.35	-3.91	-4.29	-5.44	-5.42	-6.23	-7.17	-4.71	-8.99	-6.58	-5.71	-4.48	-4.40	-5.86	-9.67	-5.24	-4.90	-4.98	1.36	-4.48	-4.38	-7.07	-4.96	-4.17
WT24hMBV20uM	1.00	1.00	24.00	0.47	-1.89	-5.47	-3.89	-5.16	-3.79	-4.91	-3.52	-3.08	-10.66	-3.51	-6.65	-6.91	-6.61	-5.84	-6.17	-8.74	-9.38	-7.28	-6.77	-10.24	-4.51	-8.60	-5.23	-5.12	-3.67	-2.87	-4.95	-5.28	-7.96	-5.17	-6.05	-6.98	-2.52	-5.15	-3.93	-6.41	-3.27	-2.14	-4.94	-4.07	-5.33	-5.09	-5.83	-5.73	-1.65	-1.27	-1.44	-5.18	-12.81	-6.35	-2.10	-3.29	-3.12	-4.32	-3.74	-5.07	-5.27	-5.83	-6.39	-4.16	-9.33	-6.29	-6.77	-5.10	-4.19	-5.05	-9.94	-5.19	-6.05	-5.32	1.28	-5.48	-4.90	-7.52	-5.38	-3.72
PKKO24h	0.00	0.00	24.00	0.57	-2.21	-5.97	-4.04	-5.03	-3.39	-4.47	-3.06	-4.04	-11.28	-4.08	-6.49	-7.42	-6.95	-6.30	-7.17	-10.53	-9.58	-7.33	-7.50	-10.45	-5.16	-8.44	-5.46	-5.45	-3.68	-3.07	-5.12	-5.27	-7.67	-6.09	-6.53	-7.21	-2.64	-4.41	-4.18	-6.61	-4.11	-2.28	-4.98	-4.23	-5.35	-5.67	-5.60	-5.14	-1.37	-1.15	-1.29	-5.13	-13.00	-8.09	-1.26	-2.63	-2.57	-3.03	-3.72	-4.72	-5.10	-5.54	-6.38	-4.63	-9.68	-7.06	-6.55	-4.82	-4.53	-5.69	-10.53	-5.66	-5.55	-5.72	1.45	-5.35	-4.65	-7.42	-5.34	-4.63
PKKO24hMBV20uM	0.00	1.00	24.00	0.26	-2.00	-6.09	-3.99	-4.78	-3.03	-4.36	-2.89	-3.89	-11.43	-3.77	-6.79	-7.73	-6.83	-6.21	-6.28	-10.38	-9.13	-7.89	-7.87	-10.43	-4.90	-8.61	-5.77	-5.44	-3.94	-2.91	-5.15	-5.37	-8.58	-6.07	-6.56	-7.09	-2.03	-4.42	-4.03	-6.12	-3.61	-3.39	-5.06	-4.25	-5.16	-5.23	-6.06	-5.63	-1.07	-1.01	-1.08	-5.24	-12.97	-7.70	-1.03	-2.32	-1.99	-3.17	-3.73	-4.88	-4.92	-5.34	-6.04	-4.68	-9.65	-6.98	-6.98	-5.05	-4.28	-5.85	-10.69	-5.18	-5.72	-5.21	1.58	-5.37	-4.70	-8.16	-5.31	-4.78
REV24h	1.00	0.00	24.00	0.22	-2.08	-5.58	-4.19	-4.98	-3.10	-4.54	-3.57	-3.55	-11.55	-3.68	-6.29	-7.24	-6.25	-4.91	-5.12	-9.03	-8.89	-5.77	-5.50	-7.94	-4.81	-8.13	-3.84	-4.89	-3.24	-3.07	-4.85	-5.09	-7.60	-5.22	-6.13	-7.15	-2.22	-4.32	-3.68	-7.05	-3.63	-2.12	-3.77	-3.23	-5.29	-4.85	-4.89	-4.80	-1.64	-1.45	-1.58	-4.23	-13.18	-6.13	-1.77	-3.11	-2.88	-3.76	-4.12	-5.03	-4.87	-5.60	-6.82	-4.62	-9.80	-6.22	-5.22	-5.19	-4.08	-5.57	-9.47	-5.60	-4.77	-5.66	1.69	-4.18	-4.53	-6.92	-5.00	-3.66
WT48h	1.00	0.00	48.00	0.63	-1.92	-1.75	-1.96	-1.43	0.55	-0.97	-1.77	-1.40	-8.97	-1.88	-4.25	-3.93	-3.41	-1.22	-1.01	-4.42	-6.36	-0.57	-0.37	-2.27	-2.80	-3.75	0.20	-2.27	-0.27	-0.50	-1.22	-2.98	-4.20	-2.74	-4.01	-3.69	0.28	-0.53	-1.53	-4.50	-0.54	0.66	0.74	1.46	-3.33	-0.66	-0.38	0.54	-0.80	-0.32	-0.44	-1.25	-8.66	-0.68	0.47	-1.37	-1.28	-1.43	-2.62	-3.01	-1.65	-2.80	-5.85	-1.40	-6.15	-3.27	-0.67	-1.98	-2.56	-2.94	-4.67	-3.16	0.65	-2.91	1.17	1.17	-3.21	-0.98	-1.72	-1.39
REV48h	1.00	0.00	48.00	0.51	-2.16	-1.36	-1.85	-1.11	0.91	-0.37	-2.02	-3.27	-9.89	-1.91	-4.27	-4.04	-3.25	-0.84	-0.44	-5.27	-5.88	-0.07	-0.22	-2.33	-2.62	-3.43	0.77	-2.23	-0.40	-0.40	-0.98	-2.82	-3.76	-2.56	-4.35	-3.24	0.57	-0.03	-1.17	-4.17	-0.35	0.31	1.08	1.73	-2.92	-0.28	-0.36	0.88	-0.51	-1.06	-0.24	-0.45	-8.58	-1.02	-0.15	-1.19	-1.06	-1.39	-2.53	-2.95	-1.25	-2.64	-5.36	-1.59	-5.28	-2.39	-0.17	-2.14	-2.14	-2.78	-3.82	-3.25	0.88	-3.13	1.48	1.56	-2.83	-0.42	-1.40	-1.15
WT48hMBV20uM	1.00	1.00	48.00	0.56	-2.35	-3.16	-2.47	-2.75	-1.06	-1.95	-2.04	-1.66	-9.63	-2.11	-4.44	-4.83	-4.31	-2.70	-1.93	-4.79	-6.61	-1.82	-1.70	-4.34	-3.35	-5.27	-1.44	-2.73	-1.04	-1.03	-2.12	-3.83	-5.08	-2.92	-4.14	-4.86	0.59	-1.93	-1.39	-4.32	-1.26	-0.40	-0.81	-0.13	-3.21	-1.70	-2.14	-1.59	-0.11	-0.03	-0.06	-2.25	-10.72	-1.99	0.37	-1.09	-0.83	-1.26	-2.77	-3.10	-2.03	-2.67	-5.18	-1.66	-6.69	-4.21	-2.68	-1.88	-2.13	-3.11	-6.12	-2.28	-1.75	-2.18	1.59	-0.97	-3.71	-3.39	-3.06	-1.43
REV48hMBV20uM	1.00	1.00	48.00	0.72	-2.29	-2.77	-2.45	-2.55	-0.58	-1.93	-1.73	-1.47	-9.90	-1.85	-4.52	-4.41	-3.75	-2.02	-1.06	-5.46	-7.20	-1.26	-0.75	-3.69	-3.24	-5.32	-0.56	-2.50	-1.00	-0.97	-2.28	-3.58	-5.28	-2.69	-4.35	-4.68	0.18	-1.60	-1.42	-3.94	-0.80	0.12	-0.32	0.45	-3.07	-1.28	-1.43	-0.87	-0.49	-0.08	-0.27	-1.74	-9.48	-2.26	0.11	-1.28	-0.97	-1.57	-2.58	-3.32	-1.88	-2.63	-5.43	-1.46	-6.20	-3.73	-1.69	-1.79	-2.04	-3.44	-5.60	-2.53	-1.03	-2.46	1.41	-0.49	-3.08	-2.60	-3.24	-1.42
PKKO48h	0.00	0.00	48.00	0.81	-2.27	-3.60	-2.76	-3.30	-1.18	-2.60	-1.85	-2.49	-10.19	-2.52	-5.22	-5.58	-5.61	-3.79	-3.86	-7.73	-7.14	-3.32	-3.12	-5.83	-3.50	-4.86	-2.36	-3.78	-1.76	-1.70	-3.14	-3.67	-5.05	-4.25	-4.79	-4.52	-0.54	-2.61	-2.73	-5.17	-2.38	-0.92	-1.53	-1.10	-3.87	-2.78	-2.88	-1.81	-0.72	-0.27	-0.44	-3.15	-10.93	-3.88	0.23	-1.52	-0.92	-1.69	-2.70	-3.17	-2.50	-3.66	-5.39	-2.54	-7.46	-4.73	-3.38	-3.85	-3.36	-4.42	-6.81	-4.23	-2.19	-4.35	1.28	-1.50	-4.52	-3.41	-4.16	-2.72
