"sample"	"orf"	"position"	"B"	"B.1"	"B.2"	"A"	"B.3"	"A.1"	"A.2"	"B.4"	"A.3"	"A.4"	"A.5"	"A.6"	"B.5"	"B.6"	"A.7"	"B.7"	"B.8"	"B.9"	"A.8"	"B.10"	"A.9"	"B.11"	"B.12"	"B.13"	"B.14"	"A.10"	"A.11"	"A.12"	"A.13"	"B.15"	"A.14"	"A.15"	"B.16"	"B.17"	"B.18"	"filename"
"actin_4"	"actinA"	-1100	1.11515827057008	2.10391282649053	0.510433906253319	-1.20538013715421	1.20601841653288	1.45225141213605	1.43149984337594	1.96078785925348	0.569496072516841	1.86435591135027	-0.200640245422722	1.29517489045899	2.57097916956179	0.317125456304524	0.34021111611019	0.806720705891067	1.1066456503363	0.557162549339708	1.78129199377891	1.9604136143872	2.03961285439508	1.03049676675982	0.971401239105056	1.73871055359249	-0.142585705538494	0.364944200432756	0.313323023241082	0.572201226409913	1.7137587277296	2.47102776435412	4.03935323754549	1.03155965056494	1.662866653145	0.311686777274524	2.06692893797813	"dCT.xlsx"
"actin_8"	"actinB"	-1101	-7.00484172942992	-8.90608717350948	-9.05956609374668	-5.76538013715421	-5.92398158346712	-5.90774858786395	-5.29850015662406	-3.50921214074652	-4.50050392748316	-4.79564408864973	-7.72064024542273	-5.744825109541	-9.30902083043821	-6.86287454369548	-4.44978888388981	-7.29327929410893	-5.9433543496637	-7.2128374506603	-5.96870800622109	-4.7295863856128	-7.34038714560492	-5.74950323324018	-6.44859876089495	-7.12128944640751	-3.77258570553849	-5.21505579956724	-4.28667697675892	-5.59779877359009	-5.5862412722704	-6.54897223564587	-8.56064676245451	-4.89844034943506	-7.857133346855	-6.75831322272548	-5.34307106202187	"dCT.xlsx"
"gapdh_1"	"gapdh"	-1102	5.03515827057008	5.35391282649053	5.17043390625332	5.47461986284579	4.27601841653288	3.74225141213605	3.65149984337594	3.14078785925348	4.14949607251684	3.79435591135027	5.65935975457728	4.325174890459	5.49097916956179	5.15712545630452	4.08021111611019	4.91672070589107	4.8666456503363	3.68716254933971	3.46129199377891	3.7904136143872	5.00961285439508	4.29049676675982	4.04140123910506	5.16871055359249	2.60741429446151	3.77494420043276	2.85332302324108	3.76220122640991	3.9137587277296	2.89102776435412	2.14935323754549	3.33155965056494	5.032866653145	5.45168677727452	3.44692893797813	"dCT.xlsx"
"gapdh_2"	"gapdh"	-1103	4.87515827057008	6.41391282649052	4.33043390625332	5.57461986284579	5.59601841653288	6.70225141213605	6.30149984337594	5.14078785925348	5.46949607251684	5.47435591135027	5.67935975457728	4.83517489045899	4.56097916956179	6.20712545630452	5.46021111611019	5.14672070589107	4.72664565033629	5.69716254933971	5.43129199377891	5.0204136143872	4.00961285439508	5.47049676675982	4.05140123910505	4.53871055359249	6.9174142944615	6.84494420043276	6.87332302324108	7.03220122640991	5.78375872772961	5.94102776435412	5.54935323754549	6.22155965056494	5.032866653145	5.45168677727452	6.14692893797812	"dCT.xlsx"
"hprt_5"	"hprt"	-1104	-0.824841729429917	-1.96608717350948	1.33043390625332	-0.675380137154207	-1.76398158346712	-3.47774858786395	-3.18850015662406	-3.07921214074652	-2.88050392748316	-2.58564408864973	-0.320640245422723	-2.354825109541	-0.779020830438213	-2.33287454369547	-3.29978888388981	-1.81327929410893	-1.7833543496637	1.34716254933971	-1.45870800622109	-2.4895863856128	-1.43038714560492	-0.919503233240182	-0.258598760894944	-0.411289446407508	-3.10258570553849	-3.44505579956724	-3.43667697675892	-3.51779877359009	-3.1062412722704	-2.44897223564588	-1.49064676245451	-2.89844034943506	-1.997133346855	-2.52831322272548	-3.33307106202187	"dCT.xlsx"
"hprt_6"	"hprt"	-1105	-5.96484172942992	-6.58608717350948	-4.55956609374668	-5.85538013715421	-5.69398158346712	-5.13774858786395	-5.37850015662406	-5.51921214074652	-4.83050392748316	-6.03564408864973	-6.08064024542272	-4.464825109541	-5.48902083043821	-4.89287454369548	-4.21978888388981	-4.27327929410893	-5.1333543496637	-6.41283745066029	-5.45870800622109	-5.9895863856128	-4.98038714560492	-6.52950323324018	-4.01859876089495	-6.33128944640751	-4.4725857055385	-4.73505579956725	-4.41667697675892	-4.91779877359009	-5.20624127227039	-4.59897223564587	-4.59064676245451	-4.89844034943506	-4.757133346855	-4.63831322272548	-5.28307106202188	"dCT.xlsx"
"K1_133"	"K1"	133	-36.3648417294299	-33.0560871735095	-29.0895660937467	-33.0953801371542	-27.3439815834671	-33.9077485878639	-34.9585001566241	-35.2792121407465	-34.9405039274832	-35.2456440886497	-26.8406402454227	-35.904825109541	-32.2990208304382	-30.3328745436955	-28.1497888838898	-35.3732792941089	-28.9933543496637	-31.0828374506603	-35.1187080062211	-38.2495863856128	-37.6503871456049	-34.4395032332402	-33.4885987608949	-32.0012894464075	-33.1925857055385	-27.3650557995672	-26.2466769767589	-34.2877987735901	-26.7662412722704	-34.1089722356459	-35.8506467624545	-33.9384403494351	-36.297133346855	-35.2883132227255	-33.3430710620219	"dCT.xlsx"
"K1_348"	"K1"	348	-36.3648417294299	-33.0560871735095	-29.0895660937467	-33.0953801371542	-33.8239815834671	-33.9077485878639	-34.9585001566241	-35.2792121407465	-34.9405039274832	-8.64564408864972	-33.5906402454227	-35.904825109541	-32.2990208304382	-30.3328745436955	-19.3797888838898	-35.3732792941089	-29.9033543496637	-31.0828374506603	-35.1187080062211	-38.2495863856128	-37.6503871456049	-34.4395032332402	-33.4885987608949	-32.0012894464075	-33.1925857055385	-26.5950557995672	-25.0166769767589	-34.2877987735901	-23.2162412722704	-34.1089722356459	-35.8506467624545	-33.9384403494351	-36.297133346855	-35.2883132227255	-33.3430710620219	"dCT.xlsx"
"K1_622"	"K1"	622	-36.3648417294299	-33.0560871735095	-29.0895660937467	-33.0953801371542	-33.8239815834671	-33.9077485878639	-34.9585001566241	-35.2792121407465	-34.9405039274832	-35.2456440886497	-17.1706402454227	-35.904825109541	-32.2990208304382	-30.3328745436955	-13.5297888838898	-35.3732792941089	-34.3133543496637	-31.0828374506603	-35.1187080062211	-38.2495863856128	-37.6503871456049	-34.4395032332402	-33.4885987608949	-32.0012894464075	-33.1925857055385	-11.7650557995672	-15.1766769767589	-34.2877987735901	-13.4662412722704	-34.1089722356459	-35.8506467624545	-33.9384403494351	-36.297133346855	-35.2883132227255	-33.3430710620219	"dCT.xlsx"
"K3_18883"	"K3"	18883	-36.3648417294299	-33.0560871735095	-29.0895660937467	-33.0953801371542	-33.8239815834671	-20.2677485878639	-34.9585001566241	-35.2792121407465	-18.2105039274832	-20.1256440886497	-33.5906402454227	-20.504825109541	-32.2990208304382	-30.3328745436955	-22.3597888838898	-35.3732792941089	-34.3133543496637	-31.0828374506603	-35.1187080062211	-38.2495863856128	-24.8903871456049	-34.4395032332402	-33.4885987608949	-32.0012894464075	-33.1925857055385	-33.4750557995672	-33.4866769767589	-22.9177987735901	-24.1662412722704	-34.1089722356459	-26.4206467624545	-19.9084403494351	-36.297133346855	-35.2883132227255	-19.0730710620219	"dCT.xlsx"
