pi0: 0.397727272727273 

FDR level: 0.5 

p-value q-value significant 
0.00986 0.018 1
9.44e-05 0.0168 1
7.51e-05 0.0168 1
0.0263 0.0238 1
0.0174 0.0208 1
0.00147 0.0168 1
0.406 0.217 1
0.725 0.346 1
6.65e-05 0.0168 1
8.74e-08 0.0168 1
0.000122 0.0168 1
8.91e-07 0.0168 1
7.2e-09 0.0168 1
1.49e-09 0.0168 1
0.00013 0.0168 1
5.19e-06 0.0168 1
9.13e-07 0.0168 1
0.143 0.0896 1
7.28e-08 0.0168 1
0.872 0.369 1
0.00104 0.0168 1
3.29e-07 0.0168 1
0.00276 0.0168 1
3.56e-07 0.0168 1
0.0634 0.0433 1
0.00234 0.0168 1
1.39e-06 0.0168 1
1.25e-05 0.0168 1
0.000163 0.0168 1
0.00306 0.0168 1
0.19 0.111 1
0.006 0.0168 1
0.131 0.0842 1
0.000102 0.0168 1
0.00313 0.0168 1
5.51e-06 0.0168 1
0.00398 0.0168 1
0.369 0.202 1
0.854 0.369 1
0.0451 0.0327 1
0.165 0.0983 1
0.782 0.36 1
0.575 0.286 1
0.97 0.392 1
0.757 0.355 1
0.578 0.286 1
0.722 0.346 1
0.108 0.0711 1
0.0249 0.0237 1
0.16 0.0978 1
0.923 0.383 1
0.0148 0.02 1
0.0442 0.0327 1
0.841 0.369 1
0.529 0.272 1
0.304 0.17 1
0.0448 0.0327 1
0.208 0.119 1
0.445 0.234 1
0.00654 0.0168 1
0.0201 0.0216 1
1 0.398 1
0.858 0.369 1
0.86 0.369 1
0.935 0.383 1
0.00448 0.0168 1
