"names"	"ap"
"actinA"	0.502082742113012
"actinB"	0.0518991722749237
"gapdh"	0.827344028046474
"hprt"	0.626744384483803
"K1"	8.43978718531924e-05
"K2"	2.81886294108914e-05
"K3"	1.36766102789553e-09
"K4"	5.38594012156116e-11
"K5"	4.37263928738086e-07
"K7"	3.47880979563607e-07
"K14"	8.47758058572403e-10
"K15"	0.102827886911956
"LANA"	0.00653148711257009
"Orf4"	7.65432462416913e-10
"Orf6"	4.36443242785366e-16
"Orf7"	1.21929593932704e-09
"Orf8"	1.64901756891531e-12
"Orf9"	8.37192170994544e-16
"Orf10"	7.64001930480409e-16
"Orf11"	4.6261338100317e-09
"Orf16"	6.03738988792291e-08
"Orf17"	6.65163488234926e-14
"Orf18"	0.0473808213352701
"Orf20"	3.3975645263878e-15
"Orf21"	0.338071505984862
"Orf22"	5.14417597828094e-06
"Orf23"	6.79809685944923e-09
"Orf24"	7.27975845045794e-07
"Orf25"	1.44450619794405e-11
"Orf26"	0.00255680022996876
"Orf27"	2.10836258388386e-07
"Orf29"	5.18785938760675e-09
"Orf30"	7.4316651876243e-12
"Orf32"	1.41961760095974e-12
"Orf34"	2.57684048824147e-07
"Orf36"	0.0492155659641707
"Orf37"	5.83066509871816e-07
"Orf39"	8.89046325884923e-06
"Orf40"	4.01475553186576e-08
"Orf42"	2.00171104341829e-10
"Orf43"	2.29102863820293e-11
"Orf44"	5.51268240821193e-11
"Orf45"	4.95934308751807e-07
"Orf46"	0.00257200166027536
"Orf47"	6.71013349910984e-06
"Orf48"	2.45541521773643e-06
"Orf49"	0.00292602618068157
"Orf50"	0.000650637668179692
"Orf52"	0.0105037061268261
"Orf54"	0.106130318011918
"Orf55"	0.0174406970253062
"Orf56"	0.0923257462717182
"Orf57"	0.000834340335123617
"Orf58"	4.79699788284354e-15
"Orf59"	2.66128562090555e-06
"Orf60"	0.000650088670150608
"Orf61"	5.03049018678033e-08
"Orf62"	5.46681162701145e-07
"Orf63"	0.0417946834039669
"Orf65"	0.00759953606398345
"Orf66"	7.31232759752636e-07
"Orf67"	3.42983994325276e-05
"Orf68"	0.341737923096597
"Orf69"	2.08778436120565e-05
"Orf70"	0.000248992076957475
"vCYC"	3.7258674105906e-06
"vFLIP"	1.79501159968416e-07
"vGPCR"	0.000988197410461996
"vIRF1"	0.000853725311269957
"vIRF2"	0.0712015479004114
"vIRF4"	3.84957056035797e-10
